 ,Total Compensation, Total Expenses, Total Contributions, Totals
DELTA AIR LINES, 0.00, 0.00, 0.00, 0.00
DENNIS & ASSOC, 0.00, 0.00, 0.00, 0.00
DENTA QUEST, 0.00, 0.00, 0.00, 0.00
DIAGEO, 0.00, 0.00, 0.00, 0.00
DIGITALTOWN INC, 0.00, 0.00, 0.00, 0.00
DISABILITY RIGHTS WA, 0.00, 0.00, 0.00, 0.00
DISH NETWORK LLC, 0.00, 0.00, 0.00, 0.00
DISTILLED SPIRITS COUNCIL OF THE US, 0.00, 0.00, 0.00, 0.00
DISTRIBUTED WIND ENERGY ASSN, 0.00, 0.00, 0.00, 0.00
DITCH MAINTENANCE SERVICES, 0.00, 0.00, 0.00, 0.00
DOTY & ASSOC INC*, 0.00, 0.00, 0.00, 0.00
DOUGLAS CO COMMISSION, 0.00, 0.00, 0.00, 0.00
DUCHARME DAVID, 0.00, 0.00, 0.00, 0.00
DUKE SCHAUB ASSOCIATES*, 0.00, 0.00, 0.00, 0.00
DUNCAN & ASSOCIATES*, 0.00, 0.00, 0.00, 0.00
DYNAMIC COLLECTORS INC, 0.00, 0.00, 0.00, 0.00
E & A STRATEGIC CONSULTING*, 0.00, 0.00, 0.00, 0.00
EAST KING CO CHAMBER OF COMM LEG COALITION, 0.00, 0.00, 0.00, 0.00
EASTERN WA GATEWAY RAILROAD CO, 0.00, 0.00, 0.00, 0.00
EASTERN WA QUALITY SCHOOLS COALITION, 0.00, 0.00, 0.00, 0.00
EASTLAKE COMMUNITY COUNCIL, 0.00, 0.00, 0.00, 0.00
EAZE, 0.00, 0.00, 0.00, 0.00
EBAY INC, 0.00, 0.00, 0.00, 0.00
ECONOMIC OPPORTUNITY INSTITUTE, 0.00, 0.00, 0.00, 0.00
EDUCATION MANAGEMENT CORP, 0.00, 0.00, 0.00, 0.00
EDUCATION REFORM NOW ADVOCACY, 0.00, 0.00, 0.00, 0.00
EDUCATIONAL SERVICE DISTRIST 105, 0.00, 0.00, 0.00, 0.00
EISAI INC, 0.00, 0.00, 0.00, 0.00
ELECTRONIC SECURITY ASSN OF WA, 0.00, 0.00, 0.00, 0.00
ELEVATOR INDUSTRY WORK PRESERVATION FUND, 0.00, 0.00, 0.00, 0.00
ELI LILLY & COMPANY, 0.00, 0.00, 0.00, 0.00
EMERALD GREEN ALLIANCE, 0.00, 0.00, 0.00, 0.00
EMERALD SVCS INC, 0.00, 0.00, 0.00, 0.00
EMILY MURPHY STRATEGIES LLC*, 0.00, 0.00, 0.00, 0.00
EMPIRE HEALTH FOUNDATION, 0.00, 0.00, 0.00, 0.00
ENERGY FREEDOM COALITION OF AMERICA LLC, 0.00, 0.00, 0.00, 0.00
ENERGY NORTHWEST, 0.00, 0.00, 0.00, 0.00
ENGAGE STRATEGIES SPC*, 0.00, 0.00, 0.00, 0.00
ENTERPRISE HOLDINGS LLC, 0.00, 0.00, 0.00, 0.00
ENTERTAINMENT SOFTWARE ASSN, 0.00, 0.00, 0.00, 0.00
ENVIRONMENT WASHINGTON, 0.00, 0.00, 0.00, 0.00
ENWAVE SEATTLE, 0.00, 0.00, 0.00, 0.00
EQUAL JUSTICE COALITION, 0.00, 0.00, 0.00, 0.00
EQUAL RIGHTS WA, 0.00, 0.00, 0.00, 0.00
EQUITY IN EDUCATION COALITION, 0.00, 0.00, 0.00, 0.00
ESCROW ASSN OF WA, 0.00, 0.00, 0.00, 0.00
EVERETT CLINIC, 0.00, 0.00, 0.00, 0.00
EVERGREEN PUBLIC AFFAIRS LLC*, 0.00, 0.00, 0.00, 0.00
EVERGREEN SCHOOL DIST, 0.00, 0.00, 0.00, 0.00
EVERGREEN TREATMENT SERVICES, 0.00, 0.00, 0.00, 0.00
EVICORE HEALTHCARE, 0.00, 0.00, 0.00, 0.00
EXELON GENERATION CO LLC, 0.00, 0.00, 0.00, 0.00
EXPEDIA INC, 0.00, 0.00, 0.00, 0.00
EXPLORE INFORMATION SERVICES, 0.00, 0.00, 0.00, 0.00
EXPRESS SCRIPTS HOLDING CO, 0.00, 0.00, 0.00, 0.00
F 5, 0.00, 0.00, 0.00, 0.00
FACEBOOK, 0.00, 0.00, 0.00, 0.00
FAIRFAX HOSPITAL, 0.00, 0.00, 0.00, 0.00
FAIRVOTE THE CENTER FOR VOTING & DEMOCRACY, 0.00, 0.00, 0.00, 0.00
FAITH ACTION NETWORK, 0.00, 0.00, 0.00, 0.00
FAMILY POLICY ACTION, 0.00, 0.00, 0.00, 0.00
FAMILY WINERIES OF WA ST, 0.00, 0.00, 0.00, 0.00
FANTASY SPORTS TRADE ASSN, 0.00, 0.00, 0.00, 0.00
FAR WEST AGRIBUSINESS ASSN, 0.00, 0.00, 0.00, 0.00
FARMERS INSURANCE GROUP, 0.00, 0.00, 0.00, 0.00
FASHION JEWELRY & ACCESSORIES TRADE ASSN, 0.00, 0.00, 0.00, 0.00
FEDERICI NICK, 0.00, 0.00, 0.00, 0.00
FEDEX, 0.00, 0.00, 0.00, 0.00
FERRY CO COMMISSION, 0.00, 0.00, 0.00, 0.00
FIDELITY NATIONAL FINANCIAL INC, 0.00, 0.00, 0.00, 0.00
FIELDTURF, 0.00, 0.00, 0.00, 0.00
FIRE SPRINKLER ADVISORY BD OF PUGET SOUND, 0.00, 0.00, 0.00, 0.00
FIRST SOLAR INC, 0.00, 0.00, 0.00, 0.00
FISH NW, 0.00, 0.00, 0.00, 0.00
FITNESS & NUTRITION PROFESSIONALS OF WA, 0.00, 0.00, 0.00, 0.00
FIX DEMOCRACY FIRST, 0.00, 0.00, 0.00, 0.00
FOOD LIFELINE, 0.00, 0.00, 0.00, 0.00
FORD MOTOR CO, 0.00, 0.00, 0.00, 0.00
FORTERRA, 0.00, 0.00, 0.00, 0.00
FORTESCUE JESSICA, 0.00, 0.00, 0.00, 0.00
FOSTER DAVID, 0.00, 0.00, 0.00, 0.00
FOUNDATION FOR HEALTHY GENERATIONS, 0.00, 0.00, 0.00, 0.00
FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION (FIRE), 0.00, 0.00, 0.00, 0.00
FRANKLIN CO COMMISSION, 0.00, 0.00, 0.00, 0.00
FRANKLIN CO PUBLIC UTILITY DIST, 0.00, 0.00, 0.00, 0.00
FRANKLIN PIERCE SCHOOL DISTRICT, 0.00, 0.00, 0.00, 0.00
FRATERNAL ORDER OF POLICE, 0.00, 0.00, 0.00, 0.00
FRED HUTCHINSON CANCER RESEARCH CENTER, 0.00, 0.00, 0.00, 0.00
FRED MEYER (OXLEY & ASSOC), 0.00, 0.00, 0.00, 0.00
FREEDOM FOUNDATION, 0.00, 0.00, 0.00, 0.00
FRESENIUS MEDICAL CARE NORTH AMERICA, 0.00, 0.00, 0.00, 0.00
FRONTIER COMMUNICATIONS, 0.00, 0.00, 0.00, 0.00
FUTURE INCOME PAYMENTS, 0.00, 0.00, 0.00, 0.00
FUTUREWISE, 0.00, 0.00, 0.00, 0.00
GAIL TORAASON MCGAFFICK INC*, 0.00, 0.00, 0.00, 0.00
GALLATIN PUBLIC AFFAIRS*, 0.00, 0.00, 0.00, 0.00
GANO & ASSOC*, 0.00, 0.00, 0.00, 0.00
GATEWAY AVIATION, 0.00, 0.00, 0.00, 0.00
GENENTECH, 0.00, 0.00, 0.00, 0.00
GENERAL MOTORS LLC, 0.00, 0.00, 0.00, 0.00
GEODUCK STUDENT UNION OF THE EVERGREEN STATE COLLEGE, 0.00, 0.00, 0.00, 0.00
GETINSURED, 0.00, 0.00, 0.00, 0.00
GILDAS CLUB SEATTLE, 0.00, 0.00, 0.00, 0.00
GILEAD SCIENCES INC, 0.00, 0.00, 0.00, 0.00
GJURASIC DAVOR, 0.00, 0.00, 0.00, 0.00
GLAXO SMITHKLINE, 0.00, 0.00, 0.00, 0.00
GONZAGA UNIVERSITY, 0.00, 0.00, 0.00, 0.00
GOODWILL OF THE OLYMPICS & RAINIER REGION, 0.00, 0.00, 0.00, 0.00
GOOGLE INC, 0.00, 0.00, 0.00, 0.00
GORDON THOMAS HONEYWELL GOVENMENTAL AFFAIRS*, 0.00, 0.00, 0.00, 0.00
GORDON THOMAS HONEYWELL LAW*, 0.00, 0.00, 0.00, 0.00
GORDON WALGREN CONSULTING SVCS*, 0.00, 0.00, 0.00, 0.00
GOVERNMENT RELATIONS SERVICES*, 0.00, 0.00, 0.00, 0.00
GOVT BLDG OWNERS & LESSORS ASSN, 0.00, 0.00, 0.00, 0.00
GRADUATE & PROF STUDENT SENATE/U OF W, 0.00, 0.00, 0.00, 0.00
GRADUATION ALLIANCE, 0.00, 0.00, 0.00, 0.00
GRANDMOTHERS AGAINS GUN VIOLENCE, 0.00, 0.00, 0.00, 0.00
GRANT CO COMMISSION, 0.00, 0.00, 0.00, 0.00
GRANT CO FIRE DIST #3, 0.00, 0.00, 0.00, 0.00
GRANT PUD, 0.00, 0.00, 0.00, 0.00
GRAYS HARBOR COMMUNITY HOSPITAL, 0.00, 0.00, 0.00, 0.00
GREATER SEATTLE CHAMBER OF COMMERCE, 0.00, 0.00, 0.00, 0.00
GREATER SPOKANE INC, 0.00, 0.00, 0.00, 0.00
GREEN DIAMOND RESOURCE CO, 0.00, 0.00, 0.00, 0.00
GREEN LIGHT STRATEGIES INC*, 0.00, 0.00, 0.00, 0.00
GROESCH MICHAEL, 0.00, 0.00, 0.00, 0.00
GROUP HEALTH COOPERATIVE, 0.00, 0.00, 0.00, 0.00
GSBA WA SAFE ALLIANCE, 0.00, 0.00, 0.00, 0.00
GUN OWNERS ACTION LEAGUE OF WA, 0.00, 0.00, 0.00, 0.00
H2 GOVERNMENT RELATIONS*, 0.00, 0.00, 0.00, 0.00
H2VTECH LLC, 0.00, 0.00, 0.00, 0.00
HABITAT FOR HUMANITY OF WA ST, 0.00, 0.00, 0.00, 0.00
HAMPTON AFFILIATES, 0.00, 0.00, 0.00, 0.00
HANCOCK NATURAL RESOURCE GROUP, 0.00, 0.00, 0.00, 0.00
HARMONY HOUSE, 0.00, 0.00, 0.00, 0.00
HARRIS CORP, 0.00, 0.00, 0.00, 0.00
HEALTH FACILITIES PLANNING & DEVELOPMENT, 0.00, 0.00, 0.00, 0.00
HEALTHCARE DISTRIBUTION ALLIANCE, 0.00, 0.00, 0.00, 0.00
HEALTHPORT (THRU MULTISTATE), 0.00, 0.00, 0.00, 0.00
HERITAGE CAPITAL ADVOCACY, 0.00, 0.00, 0.00, 0.00
HIGHLINE COMMUNITY COLLEGE, 0.00, 0.00, 0.00, 0.00
HIGHLINE GRAIN LLC, 0.00, 0.00, 0.00, 0.00
HIGHLINE PUBLIC SCHOOLS, 0.00, 0.00, 0.00, 0.00
HILLIS CLARK MARTIN & PETERSON PS, 0.00, 0.00, 0.00, 0.00
HISTORYLINK, 0.00, 0.00, 0.00, 0.00
HMS, 0.00, 0.00, 0.00, 0.00
HNTB CORP, 0.00, 0.00, 0.00, 0.00
HOD CARRIERS & GENERAL LABORERS LOCAL 242, 0.00, 0.00, 0.00, 0.00
HOME CARE ASSN OF WA, 0.00, 0.00, 0.00, 0.00
HONDA NORTH AMERICA (THRU MULTISTATE), 0.00, 0.00, 0.00, 0.00
HOPELINK, 0.00, 0.00, 0.00, 0.00
HOUSE TRENT, 0.00, 0.00, 0.00, 0.00
HPC ADVOCACY*, 0.00, 0.00, 0.00, 0.00
HUDSON GOVT AFFAIRS LLC, 0.00, 0.00, 0.00, 0.00
HUMAN LIFE OF WA, 0.00, 0.00, 0.00, 0.00
HUMANE SOCIETY OF THE UNITED STATES, 0.00, 0.00, 0.00, 0.00
HUNTERS HERITAGE COUNCIL, 0.00, 0.00, 0.00, 0.00
HUR ALEX, 0.00, 0.00, 0.00, 0.00
IBEW LOCAL 77, 0.00, 0.00, 0.00, 0.00
IBM CORPORATION, 0.00, 0.00, 0.00, 0.00
IDENTITY CLARK CO, 0.00, 0.00, 0.00, 0.00
IGPS LOGISTICS LLC, 0.00, 0.00, 0.00, 0.00
IGT GLOBAL SOLUTIONS CORP, 0.00, 0.00, 0.00, 0.00
INDEMAND INTERPRETING, 0.00, 0.00, 0.00, 0.00
INDEPENDENT BUSINESS ASSN, 0.00, 0.00, 0.00, 0.00
INDEPENDENT COLLEGES OF WASHINGTON, 0.00, 0.00, 0.00, 0.00
INDEPENDENT INS AGENTS & BROKERS OF WA, 0.00, 0.00, 0.00, 0.00
INDEPENDENT PHARMACY COOPERATIVE, 0.00, 0.00, 0.00, 0.00
INDIVIOR PLC, 0.00, 0.00, 0.00, 0.00
INDUSTRIAL CUSTOMERS OF NW UTILITIES, 0.00, 0.00, 0.00, 0.00
INLAND EMPIRE PAPER, 0.00, 0.00, 0.00, 0.00
INLAND NW AGC, 0.00, 0.00, 0.00, 0.00
INLAND POWER & LIGHT, 0.00, 0.00, 0.00, 0.00
INLANDBOATMEN'S UNION, 0.00, 0.00, 0.00, 0.00
INSTITUTE FOR FAMILY DEVELOPMENT, 0.00, 0.00, 0.00, 0.00
INSTITUTE OF REAL ESTATE MGMT, 0.00, 0.00, 0.00, 0.00
INSTITUTE OF SCRAP RECYCLING PACIFIC NW CHAPTER, 0.00, 0.00, 0.00, 0.00
INTERCITY TRANSIT, 0.00, 0.00, 0.00, 0.00
INTERNET COALITION, 0.00, 0.00, 0.00, 0.00
INTL ASSN OF MACHINISTS & AEROSPACE WORKERS DIST LODGE 751, 0.00, 0.00, 0.00, 0.00
INTL BROTHERHOOD OF TEAMSTERS LOCAL 231, 0.00, 0.00, 0.00, 0.00
INTL BROTHERHOOD OF TEAMSTERS LOCAL 38, 0.00, 0.00, 0.00, 0.00
INTL CODE COUNCIL, 0.00, 0.00, 0.00, 0.00
INTL COUNCIL OF SHOPPING CENTERS, 0.00, 0.00, 0.00, 0.00
INTL LONGSHORE & WAREHOUSE UNION PUGET SOUND DIST COUNCIL, 0.00, 0.00, 0.00, 0.00
INTL REHAB ASSN MGMT GROUP, 0.00, 0.00, 0.00, 0.00
INTL UNION OF OPERATING ENGINEERS LOCAL 612, 0.00, 0.00, 0.00, 0.00
INTOXIMETERS INC, 0.00, 0.00, 0.00, 0.00
INTUIT, 0.00, 0.00, 0.00, 0.00
INVENERGY, 0.00, 0.00, 0.00, 0.00
IRON WORKERS DIST CNCL OF THE PNW, 0.00, 0.00, 0.00, 0.00
IRON WORKERS LOCAL UNION 86, 0.00, 0.00, 0.00, 0.00
ISLANDWOOD, 0.00, 0.00, 0.00, 0.00
ISSAQUAH SCHOOL DIST, 0.00, 0.00, 0.00, 0.00
ITEK ENERGY, 0.00, 0.00, 0.00, 0.00
IUOE LOCAL 302, 0.00, 0.00, 0.00, 0.00
IUOE LOCAL 609, 0.00, 0.00, 0.00, 0.00
IUPAT DIST COUNCIL 5, 0.00, 0.00, 0.00, 0.00
IVORY JACKS, 0.00, 0.00, 0.00, 0.00
JAKES FIREWORKS, 0.00, 0.00, 0.00, 0.00
JAMESTOWN S'KLALLAM TRIBE, 0.00, 0.00, 0.00, 0.00
JDM CONSULTING LLC*, 0.00, 0.00, 0.00, 0.00
JEAN M LEONARD*, 0.00, 0.00, 0.00, 0.00
JEFFERSON CO PUBLIC WORKS, 0.00, 0.00, 0.00, 0.00
JEWISH FEDERATION OF GREATER SEATTLE, 0.00, 0.00, 0.00, 0.00
JJ 206 LLC, 0.00, 0.00, 0.00, 0.00
JOHN S CONNIFF PLLC*, 0.00, 0.00, 0.00, 0.00
JOHNSON & JOHNSON, 0.00, 0.00, 1000.00, 1000.00
JOHNSON & JOHNSON VISION CARE, 0.00, 0.00, 0.00, 0.00
JOHNSON ARLEDGE STRATEGIES*, 0.00, 0.00, 0.00, 0.00
JOHNSON CONTROLS, 0.00, 0.00, 0.00, 0.00
JOINT COUNCIL OF TEAMSTERS #28, 0.00, 0.00, 12777.87, 12777.87
JOOS PAUL, 0.00, 0.00, 0.00, 0.00
JPMORGAN CHASE & CO, 0.00, 0.00, 0.00, 0.00
JUSTIN JAMES, 0.00, 0.00, 0.00, 0.00
K & L GATES*, 0.00, 0.00, 0.00, 0.00
K12 ON BEHALF OF DCI GROUP LLC, 0.00, 0.00, 0.00, 0.00
KAISER ALUMINUM, 0.00, 0.00, 0.00, 0.00
KAISER FOUNDATION HEALTH PLAN, 0.00, 0.00, 0.00, 0.00
KALISPEL TRIBE, 0.00, 0.00, 0.00, 0.00
KAPSTONE PAPER & PACKAGING CORP, 0.00, 0.00, 0.00, 0.00
KEMPER DEVELOPMENT CO, 0.00, 0.00, 0.00, 0.00
KEYBANK, 0.00, 0.00, 0.00, 0.00
KING CO CORRECTIONS GUILD, 0.00, 0.00, 0.00, 0.00
KING CO FLOOD CONTROL DIST, 0.00, 0.00, 0.00, 0.00
KING CO SEXUAL ASSAULT RESOURCE CENTER, 0.00, 0.00, 0.00, 0.00
KING CO SOLID WASTE DIVISION, 0.00, 0.00, 0.00, 0.00
KITSAP CO, 0.00, 0.00, 0.00, 0.00
KITSAP TRANSIT, 0.00, 0.00, 0.00, 0.00
KITTITAS CO BOARD OF COMMISSIONERS, 0.00, 0.00, 0.00, 0.00
KLICKITAT CO COMMISSION, 0.00, 0.00, 0.00, 0.00
KNOWLEDGE UNIVERSE, 0.00, 0.00, 0.00, 0.00
KOCH CO PUBLIC SECTOR LLC & AFFILIATES, 0.00, 0.00, 0.00, 0.00
KREGER BEEGHLY PLLC*, 0.00, 0.00, 0.00, 0.00
LAKEWOOD WATER DIST, 0.00, 0.00, 0.00, 0.00
LAMAR ADVERTISING, 36000.00, 950.00, 0.00, 36950.00
LEADINGAGE WA, 0.00, 0.00, 0.00, 0.00
LEAGUE OF EDUCATION VOTERS, 0.00, 0.00, 0.00, 0.00
LEAGUE OF WOMEN VOTERS OF WA, 0.00, 0.00, 0.00, 0.00
LEARNING.COM, 0.00, 0.00, 0.00, 0.00
LEGACY HEALTH SYSTEM, 0.00, 0.00, 0.00, 0.00
LEGAL IVORY RIGHTS COALITION, 0.00, 0.00, 0.00, 0.00
LEGAL VOICE, 0.00, 0.00, 8843.75, 8843.75
LEOFF1 COALITION, 0.00, 0.00, 0.00, 0.00
LES SCHWAB TIRE CENTERS, 0.00, 0.00, 0.00, 0.00
LEUKEMIA & LYMPHOMA SOCIETY, 0.00, 0.00, 0.00, 0.00
LEVEL 3 COMMUNICATIONS LLC, 0.00, 0.00, 0.00, 0.00
LEVINE ALEXANDER, 0.00, 0.00, 0.00, 0.00
LEWIS CO PUBLIC UTILITY DIST #1, 0.00, 0.00, 0.00, 0.00
LEXINGTON FLOOD CONTROL ZONE DIST, 0.00, 0.00, 0.00, 0.00
LIABILITY REFORM COALITION, 0.00, 0.00, 0.00, 0.00
LIBERTY MUTUAL INSURANCE, 0.00, 0.00, 0.00, 0.00
LIFE CENTER NORTHWEST, 0.00, 0.00, 0.00, 0.00
LIFELONG AIDS ALLIANCE, 0.00, 0.00, 0.00, 0.00
LIMEADE, 0.00, 0.00, 0.00, 0.00
LINCOLN CO COMMISSION, 0.00, 0.00, 0.00, 0.00
LIVE NATION NORTHWEST, 0.00, 0.00, 0.00, 0.00
LMH INC*, 0.00, 0.00, 0.00, 0.00
LUMMI TRIBE, 0.00, 0.00, 0.00, 0.00
LYFESYSTEMS INC, 0.00, 0.00, 0.00, 0.00
LYFT INC, 0.00, 0.00, 0.00, 0.00
LYNDEN INCORPORATED, 0.00, 0.00, 0.00, 0.00
M J DURKAN INC*, 0.00, 0.00, 0.00, 0.00
MAEL RODNEY, 0.00, 0.00, 0.00, 0.00
MANUFACTURED HOUSING COMMUNITIES OF WA, 0.00, 0.00, 0.00, 0.00
MARATHON FUNDING SERVICES & AFFILIATES, 0.00, 0.00, 0.00, 0.00
MARCH OF DIMES - W WA CHAPTER, 0.00, 0.00, 0.00, 0.00
MARIE SULLIVAN PUBLIC AFFAIRS*, 0.00, 0.00, 0.00, 0.00
MARINE VIEW VENTURES, 0.00, 0.00, 0.00, 0.00
MARITIME FIRE & SAFETY ASSN, 0.00, 0.00, 0.00, 0.00
MARR CHRIS, 0.00, 0.00, 0.00, 0.00
MARTIN FLYNN PUBLIC AFFAIRS INC*, 0.00, 0.00, 0.00, 0.00
MASON CO, 0.00, 0.00, 0.00, 0.00
MASTER BLDRS ASSN OF KING & SNO COUNTIES, 0.00, 0.00, 189350.00, 189350.00
MASTERCARD WORLDWIDE, 0.00, 0.00, 0.00, 0.00
MASTERS MATES & PILOTS UNION, 0.00, 0.00, 0.00, 0.00
MCBRIDE PUBLIC AFFAIRS LLC*, 0.00, 0.00, 0.00, 0.00
MCCOMB LEN, 0.00, 0.00, 0.00, 0.00
MCDONALD'S, 0.00, 0.00, 0.00, 0.00
MCLANE CO INC, 0.00, 0.00, 0.00, 0.00
MCNA HEALTH CARE HOLDINGS, 0.00, 0.00, 0.00, 0.00
MEAD JOHNSON NUTRITION CO, 0.00, 0.00, 0.00, 0.00
MECHANICAL CONTRACTORS ASSN WESTERN WA, 0.00, 0.00, 0.00, 0.00
MEDTRONIC INC, 0.00, 0.00, 0.00, 0.00
MELANIE STEWART & ASSOC INC*, 0.00, 0.00, 0.00, 0.00
MERCK SHARP & DOHME CORP & AFFILIATES, 0.00, 0.00, 0.00, 0.00
MERLIN ADVOCATES LLC*, 0.00, 0.00, 0.00, 0.00
MERSCORP INC (THRU MULTISTATE), 0.00, 0.00, 0.00, 0.00
METLIFE, 0.00, 0.00, 0.00, 0.00
METRO PARKS OF TACOMA, 0.00, 0.00, 0.00, 0.00
METROPOLITAN KING CO COUNCIL, 0.00, 0.00, 0.00, 0.00
MICROSOFT CORP, 0.00, 0.00, 0.00, 0.00
MIDWIVES ASSN OF WA STATE, 0.00, 0.00, 0.00, 0.00
MILLENNIA PUBLIC AFFAIRS INC*, 0.00, 0.00, 0.00, 0.00
MILLENNIUM BULK TERMINALS, 0.00, 0.00, 0.00, 0.00
MILLER MALONE & TELLEFSON PS*, 0.00, 0.00, 0.00, 0.00
MILLER NASH GRAHAM & DUNN LLP*, 0.00, 0.00, 0.00, 0.00
MILLERCOORS, 0.00, 0.00, 0.00, 0.00
MJB CONSULTING*, 0.00, 0.00, 0.00, 0.00
MOCKINGBIRD SOCIETY, 0.00, 0.00, 0.00, 0.00
MODA HEALTH, 0.00, 0.00, 0.00, 0.00
MOLINA HEALTHCARE OF WA INC, 0.00, 0.00, 0.00, 0.00
MOMSRISING, 0.00, 0.00, 0.00, 0.00
MONEYTREE INC, 0.00, 0.00, 0.00, 0.00
MONSANTO, 0.00, 0.00, 0.00, 0.00
MOTION PICTURE ASSN OF AMERICA, 0.00, 0.00, 0.00, 0.00
MOTION PICTURE EXHIBITORS OF WA ALASKA & OREGON, 0.00, 0.00, 0.00, 0.00
MOTOR VEHICLE ANCILLARY PRODUCTS ASSN, 0.00, 0.00, 0.00, 0.00
MOTOR VEHICLE SOFTWARE CORP, 0.00, 0.00, 0.00, 0.00
MT SPOKANE 2000, 0.00, 0.00, 0.00, 0.00
MUCKLESHOOT INDIAN TRIBE, 0.00, 0.00, 10500.00, 10500.00
MULTICARE HEALTH SYSTEM, 0.00, 0.00, 0.00, 0.00
MULTI-SERVICE CENTER LONG TERM CARE OMBUDSMAN PROGRAM, 0.00, 0.00, 0.00, 0.00
MUNICIPAL RESEARCH & SERVICES CENTER, 0.00, 0.00, 0.00, 0.00
MYLAN INC, 0.00, 0.00, 0.00, 0.00
N CAPITOL CAMPUS HERITAGE PK DEV ASSN, 0.00, 0.00, 0.00, 0.00
NAMI WA, 0.00, 0.00, 0.00, 0.00
NANCY LEMAY, 0.00, 0.00, 0.00, 0.00
NATIONAL ELEVATOR INDUSTRY INC, 0.00, 0.00, 0.00, 0.00
NATIONAL GUARD ASSOC OF WA, 0.00, 0.00, 0.00, 0.00
NATIONWIDE INSURANCE, 0.00, 0.00, 0.00, 0.00
NATL ABORTION RIGHTS ACTION LEAGUE, 0.00, 0.00, 0.00, 0.00
NATL ASSN OF CHAIN DRUG STORES, 0.00, 0.00, 0.00, 0.00
NATL ASSN OF CREDIT MGMT, 0.00, 0.00, 0.00, 0.00
NATL ASSN OF INDUSTRIAL & OFFICE PROPERTIES, 0.00, 0.00, 0.00, 0.00
NATL ASSN OF INSURANCE & FINANCIAL ADVISORS, 0.00, 0.00, 0.00, 0.00
NATL ASSN OF SOCIAL WORKERS WA ST CHAPTER, 0.00, 0.00, 0.00, 0.00
NATL ASSN OF VISION CARE PLANS, 0.00, 0.00, 0.00, 0.00
NATL ELECTRICAL CONTRACTORS ASSN, 0.00, 0.00, 0.00, 0.00
NATL ELECTRICAL MANUFACTURERS ASSN (THRU MULTISTATE), 0.00, 0.00, 0.00, 0.00
NATL EXPRESS LLC, 0.00, 0.00, 0.00, 0.00
NATL FEDERATION OF INDEPENDENT BUSINESS, 0.00, 0.00, 0.00, 0.00
NATL HOME SERVICE CONTRACT ASSN (THRU CHARTRAND LEGAL MGMT), 0.00, 0.00, 0.00, 0.00
NATL MULTIPLE SCLEROSIS SOCIETY GREATER NW CHAPTER, 0.00, 0.00, 0.00, 0.00
NATL PATIENT ADVOCATE FOUNDATION, 0.00, 0.00, 0.00, 0.00
NATL RIFLE ASSN OF AMERICA, 0.00, 0.00, 0.00, 0.00
NATL UTILITY CONTRACTORS ASSN WA CHAPTER, 0.00, 0.00, 0.00, 0.00
NATL WATER COMPANY, 0.00, 0.00, 0.00, 0.00
NATURAL EXTRACTIONS INC, 0.00, 0.00, 0.00, 0.00
NATURAL RESOURCES DEFENSE CNCL, 0.00, 0.00, 0.00, 0.00
NAVIGATION GROUP LLP*, 0.00, 0.00, 0.00, 0.00
NAVOS, 0.00, 0.00, 0.00, 0.00
NEIGHBORHOOD HOUSE, 0.00, 0.00, 0.00, 0.00
NEW LEAF ENTERPRISES, 0.00, 0.00, 0.00, 0.00
NEW SUNCADIA LLC, 0.00, 0.00, 0.00, 0.00
NEWLAND COMMUNITIES, 0.00, 0.00, 0.00, 0.00
NEXT STEP ARCHERY, 0.00, 0.00, 0.00, 0.00
NEXUS GROUP*, 0.00, 0.00, 0.00, 0.00
NICHTER LLC, 0.00, 0.00, 0.00, 0.00
NINTENDO OF AMERICA, 0.00, 0.00, 0.00, 0.00
NISQUALLY INDIAN TRIBE, 0.00, 0.00, 0.00, 0.00
NISSAN OF NORTH AMERICA, 0.00, 0.00, 0.00, 0.00
NJOY ELECTRONIC CIGARETTES, 0.00, 0.00, 0.00, 0.00
NOANET, 0.00, 0.00, 0.00, 0.00
NON-PROFIT INSURANCE PROGRAM, 0.00, 0.00, 0.00, 0.00
NOOKSACK INDIAN TRIBE, 0.00, 0.00, 0.00, 0.00
NORDIC HERITAGE MUSEUM, 0.00, 0.00, 0.00, 0.00
NORMANDY HOLDINGS LLC, 0.00, 0.00, 0.00, 0.00
NORTHSHORE EDUCATION ASSN, 0.00, 0.00, 0.00, 0.00
NORTHSTAR CONTRACTING GROUP LP, 0.00, 0.00, 0.00, 0.00
NORTHWEST AGRICULTURE BUSINESS CENTER, 0.00, 0.00, 0.00, 0.00
NORTHWEST ALLIANCE FOR PSYCHOANALYTIC STUDY, 0.00, 0.00, 0.00, 0.00
NORTHWEST AUTOMATIC VENDING ASSN, 0.00, 0.00, 0.00, 0.00
NORTHWEST CAREER COLLEGE FEDERATION, 0.00, 0.00, 0.00, 0.00
NORTHWEST CREDIT UNION ASSN, 0.00, 0.00, 0.00, 0.00
NORTHWEST ENERGY COALITION, 0.00, 0.00, 0.00, 0.00
NORTHWEST FARM CREDIT SERVICES, 0.00, 0.00, 0.00, 0.00
NORTHWEST HARVEST, 0.00, 0.00, 0.00, 0.00
NORTHWEST INDUSTRIAL GAS USERS, 0.00, 0.00, 0.00, 0.00
NORTHWEST KIDNEY CENTERS, 0.00, 0.00, 0.00, 0.00
