Bill,Flags,Title,Status,Veto,Date,Original Sponsor
"HB 2198","","Health care freedom","H HC/Wellness","","3/20/2015","Shea"
"HB 2199","","Preservation of liberty","H Public Safety","","3/20/2015","Shea"
"HB 2200","","Official oppression","H Public Safety","","3/20/2015","Shea"
"HB 2201","f","Higher education funding","H Hi Ed","","3/25/2015","Reykdal"
"HB 2202","","Firearm possession/emergency","H Judiciary","","3/24/2015","Shea"
"HB 2203","","Surplus federal property","H Public Safety","","3/24/2015","Shea"
"HB 2204","","Defend the WA state guard","H Comm Dev, Housi","","3/24/2015","Shea"
"HB 2205","","St agency-fed govt agreemnts","H Approps","","3/24/2015","Young"
"HB 2206","","Commercial sex abuse/a minor","H Public Safety","","3/24/2015","Klippert"
"HB 2207","","Commercial sex abuse/a minor","H Public Safety","","3/24/2015","Klippert"
"HB 2208","","Presidential electors","H State Governmen","","3/25/2015","Shea"
"HB 2209","","Driver's license applicants","H Trans","","3/25/2015","Hunt, G."
"HB 2210","","State estate tax, repealing","H Finance","","3/25/2015","Young"
"HB 2211","f#","Vapor products taxation","H Finance","","1/11/2016","Pollet"
"EHB 2212","f","Hospital certif of need/exem","C 22 L 15 E3","","7/6/2015","Cody"
"HB 2213","","Devel disabs/prevocational","H Erly Lrn/H Svc","","3/26/2015","Walsh"
"2EHB 2214","fo","HS student assessments","H subst for","","1/25/2016","Reykdal"
"HB 2215","","State land purchases","H Cap Budget","","3/27/2015","Taylor"
"HB 2216","","Radar devices/search warrant","H Public Safety","","3/27/2015","Taylor"
"HB 2217","f","Juvenile offender b. t. camp","C 23 L 15 E3","","7/6/2015","Hunter"
"HB 2218","","State expenditure limit","H Approps","","3/30/2015","Hunter"
"HB 2219","","Budget/basic ed enhancements","H Approps","","3/30/2015","Hunter"
"HB 2220","f","TANF, families receiving","H Approps","","3/30/2015","Hunter"
"HB 2221","f#","Long-term care violations","H Approps","","1/11/2016","Hunter"
"HB 2222","","Basic education funding","H Approps","","3/30/2015","Hunter"
"HB 2223","f","Extraordinary revenue growth","H Approps","","3/30/2015","Hunter"
"HB 2224","f","Excise tax system","H Finance","","3/30/2015","Carlyle"
"HB 2225","","Coal-fired generation units","H Tech &  Econ D","","3/31/2015","Smith"
"HB 2226","f","Spacecraft/aerosp. tax prefs","H Finance","","1/29/2016","Morris"
"HB 2227","f","Recreational fishing","H Approps","","4/13/2015","Blake"
"HB 2228","f#","Health information fees","H Approps","","4/15/2015","Sawyer"
"HB 2229","","Excise tax/ed, pub serv T.O.","H Finance","","4/15/2015","Carlyle"
"HB 2230","","Excise tax/ed, pub serv T.O.","H Finance","","4/15/2015","Carlyle"
"HB 2231","","Fair mrket/ed, pub serv T.O.","H Finance","","4/15/2015","Carlyle"
"HB 2232","","Excise tax/ed, pub serv T.O.","H Finance","","4/15/2015","Carlyle"
"HB 2233","","Excise tax/ed, pub serv T.O.","H Finance","","4/15/2015","Carlyle"
"HB 2234","","Excise tax/ed, pub serv T.O.","H Finance","","4/15/2015","Carlyle"
"HB 2235","","Excise tax/ed, pub serv T.O.","H Finance","","4/15/2015","Carlyle"
"HB 2236","","Excise tax/ed, pub serv T.O.","H Finance","","4/15/2015","Carlyle"
"HB 2237","","Excise tax/ed, pub serv T.O.","H Finance","","4/15/2015","Carlyle"
"HB 2238","","Early childhood ed prog T.O.","H Approps","","4/15/2015","Hunter"
"HB 2239","","Article IX obligations plan","H subst for","","6/26/2015","Hunter"
"HB 2240","","Ferry vessel constr. bidding","H Trans","","4/20/2015","Orcutt"
"HB 2241","","Coll bound sch, st need grnt","H Hi Ed","","4/23/2015","Hudgins"
"HB 2242","f","COBOL/st info tech employees","H Gen Govt & Inf","","4/23/2015","Hudgins"
"HB 2243","","Info tech and cybersecurity","H Hi Ed","","4/23/2015","Hudgins"
"HB 2244","","Cybersecurity student loans","H Hi Ed","","4/23/2015","Hudgins"
"HB 2245","f","St. capital hist. museum/DES","H Gen Govt & Inf","","4/23/2015","Hudgins"
"HB 2246","","Jnt admin rules review comm","H State Governmen","","4/23/2015","Hudgins"
"HB 2247","","Local community development","H Comm Dev, Housi","","4/24/2015","Wylie"
"HB 2248","","Special education students","H Education","","4/24/2015","Santos"
"HB 2249","","Elected official leave of ab","H State Governme","","4/29/2015","MacEwen"
"HB 2250","","Political contrib/sp leg ses","H State Governme","","4/30/2015","Stokesbary"
"HB 2251","f","Timber-felling equip tx exem","H Finance","","5/1/2015","Tharinger"
"HB 2252","f","St capital historical museum","H Rules R","","2/9/2016","Hudgins"
"EHB 2253","","Jnt admin rules review comm","C 11 L 15 E2","","7/9/2015","Hudgins"
"HB 2254","f","Social media safety/schools","H Education","","5/4/2015","Manweller"
"HB 2256","","Undisclosed campaign contrib","H State Governmen","","5/8/2015","Bergquist"
"HB 2257","","Safe K-12 school plans","H Education","","5/8/2015","Pollet"
"HB 2258","","Property tax levy limitation","H Finance","","5/28/2015","Haler"
"HB 2259","f#","Indecent exposure, crime of","H Gen Govt & Info","","1/26/2016","Klippert"
"HB 2260","f#","Sexual misconduct with minor","H Gen Govt & Info","","1/26/2016","Klippert"
"HB 2261","","Utility customer backbilling","H Rules X","","2/26/2016","Shea"
"HB 2262","f","Tennis special licnse plates","C 16 L 16","","3/25/2016","Bergquist"
"HB 2263","","Vulnerable people/services","H subst for","","6/26/2015","Springer"
"HB 2264","f#","Customer energy use info","C 21 L 15 E3","","7/6/2015","Smith"
"HB 2265","","Aerospace tax incentives","H Finance","","6/5/2015","Manweller"
"EHB 2266","","Class size & school staffing","C 38 L 15 E3","","7/14/2015","Sullivan"
"EHB 2267","","Expenditure limit & basic ed","C 29 L 15 E3","","7/6/2015","Hunter"
"HB 2268","","Budget stabil acct transfer","H Approps","","1/11/2016","Hunter"
"HB 2269","","Tax system/ed. pub serv T.O.","H Approps","","1/11/2016","Hunter"
"HB 2270","","Sentencing/property crimes","H Approps","","1/11/2016","Hudgins"
"HB 2271","","Elson S Floyd med school/WSU","H Hi Ed","","6/25/2015","Hunt, S."
"HB 2272","","Basic education obligation","H Approps","","6/25/2015","Magendanz"
"HB 2273","","H-p avian influenza outbreak","H Ag & Nat Res","","6/26/2015","Buys"
"HB 2274","f#","Abandoned vehicle sale rprts","H subst for","","2/12/2016","Harmsworth"
"HB 2275","","Voluntary intoxication","H Judiciary","","6/27/2015","Klippert"
"HB 2276","","Govt liability/law enf, DOC","H Judiciary","","6/27/2015","Klippert"
"HB 2277","","Peace officer liability","H Judiciary","","6/27/2015","Klippert"
"HB 2278","","Child restraint, safety belt","H Judiciary","","6/27/2015","Klippert"
"HB 2279","#","Impaired driving prob. cause","H Public Safety","","6/27/2015","Klippert"
"HB 2280","f#","Felony DUI as class B felony","C 87 L 16","","3/31/2016","Klippert"
"HB 2281","f#","Vehicular homicide","H Gen Govt & Info","","1/26/2016","Klippert"
"HB 2282","","Detention standards","H Judiciary","","6/27/2015","Klippert"
"HB 2283","","Person threatening to murder","H Judiciary","","6/27/2015","Klippert"
"HB 2284","","Legal status in USA, proof","H Public Safety","","6/27/2015","Klippert"
"HB 2285","","Family planning","H Rules X","","1/28/2016","Hunter"
"EHB 2286","","Budget stabilization account","C 2 L 15 E3","","6/30/2015","Hunter"
"HB 2287","f#","Disability/emergency scene","H subst for","","2/15/2016","McCabe"
"HB 2288","","PS taxpayer accountblty acct","H Approps","","7/1/2015","Farrell"
"HB 2289","","I-405 express toll lanes","H Trans","","7/1/2015","Bergquist"
"HB 2290","","Public record request limits","H State Governme","","1/11/2016","MacEwen"
"HB 2291","","Min. wage calc. & youth wage","H Labor & Workpl","","1/11/2016","MacEwen"
"HB 2292","","Ballots, name multiple times","H State Governme","","1/11/2016","MacEwen"
"HB 2293","","Presidential electors","H State Governme","","1/11/2016","MacEwen"
"HB 2294","","Abortions/public funds use","H HC/Wellness","","1/11/2016","Taylor"
"HB 2295","","Ed funding/fed. forest lands","H Approps","","1/11/2016","Rossetti"
"HB 2296","f#","Pub. facilities district tax","H subst for","","2/11/2016","Rossetti"
"HB 2297","","Surname changes when married","H Judiciary","","1/11/2016","Moeller"
"HB 2298","f","Domestic partnerships/PERS","H Rules 3C","","3/10/2016","Moeller"
"HB 2299","f","Lobbying reports, electronic","H Rules R","","1/19/2016","Moeller"
"HB 2300","","Guardian ad litem privacy","H subst for","","2/17/2016","Moeller"
"HB 2301","f","State need grant, rate used","H Hi Ed","","1/11/2016","Hargrove"
"HB 2302","","Prosecutor, nonpartisan","H State Governme","","1/11/2016","Muri"
"HB 2303","f#","Wildland urban interface","H Rules X","","2/26/2016","Van De Wege"
"HB 2304","f","Naturopaths, rx authority","H HC/Wellness","","1/11/2016","DeBolt"
"HB 2305","","Storage/personal property","H Rules R","","1/18/2016","Ryu"
"HB 2306","","Schools, offensive names","H Education","","1/11/2016","Sawyer"
"HB 2307","f","Pregnancy accommodations","H subst for","","2/4/2016","Farrell"
"HB 2308","","Master planned resorts","H Ag & Nat Res","","1/11/2016","Van De Wege"
"HB 2309","fd#","Water pollution loans/term","C 88 L 16","","3/31/2016","Smith"
"HB 2310","","Fire prevention/2016","H Ag & Nat Res","","1/11/2016","Van De Wege"
"HB 2311","f","Admin. rules validity","H State Governme","","1/11/2016","Blake"
"HB 2312","f","I-405 express toll lanes","H Trans","","1/11/2016","Harmsworth"
"HB 2313","fd#","Tobacco and vapor products","H Approps","","2/2/2016","Orwall"
"HB 2314","f#","Motor vehicle air bags","H Rules R","","1/28/2016","Goodman"
"HB 2315","fo#","Mortgage lending fraud/acct.","H Rules 3C","","3/10/2016","Kirby"
"HB 2316","fo","Securities act of WA","H Rules R","","1/18/2016","Kirby"
"HB 2317","f#","Electric vehicles/NEVs","C 17 L 16","","3/25/2016","Van De Wege"
"HB 2318","","Wild animals exception/USDA","H Judiciary","","1/11/2016","Van De Wege"
"HB 2319","f","Continuity of care/Rx insur.","H Rules X","","2/26/2016","Jinkins"
"HB 2320","f","Horse racing comm'n account","C 160 L 16","","4/1/2016","Stokesbary"
"HB 2321","f#","Fire authority formation","H Rules 3C","","3/10/2016","Stokesbary"
"HB 2322","","Rental car cost recovery fee","C 18 L 16","","3/25/2016","Zeiger"
"HB 2323","f","Better life experience prog.","H subst for","","2/10/2016","Kilduff"
"HB 2324","f","Educational interpreters","H Education","","1/11/2016","Van De Wege"
"HB 2325","","Firearms/hunting education","H Education","","1/11/2016","Muri"
"HB 2326","f","Independent review orgs.","C 139 L 16","","3/31/2016","Moeller"
"HB 2327","","Horse slaughter","H Judiciary","","1/11/2016","Appleton"
"HB 2328","","Breast health information","H HC/Wellness","","1/11/2016","Appleton"
"HB 2329","fo","Basic ed./caseload forecast","H Approps","","1/26/2016","Haler"
"HB 2330","f#","Electric vehicle charging","H Trans","","1/11/2016","Muri"
"HB 2331","fd","Invasive species council","H Rules 3C","","3/10/2016","Chandler"
"HB 2332","fo","Health care provider comp.","C 122 L 16","","3/31/2016","Kirby"
"HB 2333","","PERS plan choice","H Approps","","1/11/2016","Reykdal"
"HB 2334","f","Martial arts excise taxation","H subst for","","2/11/2016","Ryu"
"HB 2335","f","Health provider credentials","H subst for","","2/11/2016","Cody"
"HB 2336","f","Workers' comp./claim closure","H Labor & Workpl","","1/11/2016","Manweller"
"HB 2337","f","Workers' comp./60-mnth limit","H Labor & Workpl","","1/11/2016","Manweller"
"HB 2338","f","Workers' comp./max med imprv","H Labor & Workpl","","1/11/2016","Manweller"
"HB 2339","f","Residential treatment","H Rules R","","1/19/2016","Moeller"
"HB 2340","f","State health insurance pool","H subst for","","2/12/2016","Schmick"
"HB 2341","f#","DNA biological samples","H Rules X","","2/26/2016","Orwall"
"HB 2342","","Liquor industry/retailers","H subst for","","2/17/2016","Hurst"
"HB 2343","f","Limited medical licenses","H HC/Wellness","","1/11/2016","Cody"
"HB 2344","#","County ferry districts","H Rules R","","2/5/2016","Morris"
"HB 2345","f","Combo heat & power systems","H Tech &  Econ D","","1/11/2016","Morris"
"HB 2346","f#","Renewable energy promotion","H subst for","","2/16/2016","Morris"
"HB 2347","f","Marijuana tax reduction","H Finance","","1/29/2016","Hurst"
"HB 2348","#","Local fireworks ordinances","H Rules R","","1/29/2016","Hawkins"
"HB 2349","","Renaming branch campuses","H Hi Ed","","1/11/2016","Haler"
"HB 2350","f","Medical assistants/Rx admin.","C 124 L 16","","3/31/2016","Cody"
"HB 2351","","Cinnamon w/ high coumarin","H Ag & Nat Res","","1/11/2016","Stanford"
"HB 2352","","Farmlands/riparian planting","H Ag & Nat Res","","1/11/2016","Stanford"
"HB 2353","d","OPMA civil penalties","H Rules R","","1/29/2016","Hunt, S."
"HB 2354","","Assault weapons ban","H Judiciary","","1/11/2016","Moeller"
"HB 2355","f","Service contract providers","H subst for","","2/16/2016","Kirby"
"HB 2356","af","Employee personal vehicles","C 125 L 16","","3/31/2016","Kirby"
"HB 2357","$fo","Pollution insurance agency","H subst for","","2/10/2016","Peterson"
"HB 2358","","Water-sewer districts","H Rules R","","1/25/2016","Kochmar"
"HB 2359","o","Obsolete provisions","H subst for","","2/17/2016","Goodman"
"HB 2360","f","Quality education council","C 162 L 16","","4/1/2016","Lytton"
"HB 2361","f","School levy lid revs./delay","H Approps","","1/13/2016","Lytton"
"EHB 2362","af#","Recordings/law enf., etc.","C 163 L 16","","4/1/2016","Hansen"
"HB 2363","f","Rx drug cost and utilization","H HC/Wellness","","1/11/2016","Cody"
"HB 2364","f","Marijuana business licensing","H Rules X","","2/26/2016","Wylie"
"HB 2365","f","Marijuana merchandise","H Rules R","","2/5/2016","Wylie"
"HB 2366","f","Basic education obligations","H subst for","","1/25/2016","Lytton"
"HB 2367","","Public non-common schools","H Education","","1/11/2016","Magendanz"
"HB 2368","f#","Marijuana delivery/pilot prg","H Rules X","","2/26/2016","Hurst"
"HB 2369","f#","Liquor enforcement officers","H Rules R","","2/11/2016","Hurst"
"HB 2370","f#","Fantasy sports games ban","H Commerce & Gam","","1/12/2016","Hurst"
"HB 2371","f#","Court use of JIS system","C 89 L 16","","3/31/2016","Kuderer"
"HB 2372","f#","Firearm disposition/law enf.","H Judiciary","","1/12/2016","Senn"
"HB 2373","f","Student mental health","H Approps","","2/5/2016","Senn"
"HB 2374","f","Statewide ammunition fee","H Judiciary","","1/12/2016","Senn"
"HB 2375","f#","Cybercrime","H subst for","","2/16/2016","Magendanz"
"HB 2376","fd","Operating sup budget 2016","H subst for","","2/25/2016","Dunshee"
"HB 2377","","Schools/GMA","H Local Govt","","1/12/2016","Taylor"
"HB 2378","fd","Caseload forecast council","H Rules R","","2/9/2016","Stanford"
"HB 2379","f#","Elder justice centers","H Approps","","2/1/2016","Moeller"
"HB 2380","d","Supplemental capital budget","H subst for","","3/29/2016","Tharinger"
"HB 2381","f","School counselors task force","H subst for","","2/15/2016","Ortiz-Self"
"HB 2382","f","Teachers/alt. route programs","H Approps","","2/1/2016","Magendanz"
"HB 2383","","Acupuncture/injured workers","H Labor & Workpl","","1/12/2016","Reykdal"
"HB 2384","f#","Mobile telecom. providers","C 91 L 16","","3/31/2016","Buys"
"HB 2385","f#","Asphalt prod./air emissions","H Environment","","1/12/2016","Pollet"
"HB 2386","","Public info on biosolid uses","H Ag & Nat Res","","1/12/2016","Pollet"
"HB 2387","f","Flamethrowing devices","H Rules R","","2/2/2016","Hunt, S."
"HB 2388","f","Theatrical wrestling","H Rules 3C","","3/10/2016","Hudgins"
"HB 2389","","School-age child care","H Rules R","","1/26/2016","Kagi"
"HB 2390","fd","National guard empl. rights","H Rules 3C","","3/10/2016","Klippert"
"HB 2391","#","County payroll draw days","C 126 L 16","","3/31/2016","McCabe"
"HB 2392","","Pesticide exposure","H HC/Wellness","","1/13/2016","Ortiz-Self"
"HB 2393","f#","Motorcycle liability ins.","H Bus & Fin Svcs","","1/20/2016","Farrell"
"HB 2394","af","Parent to parent program","C 92 L 16","","3/31/2016","Walsh"
"HB 2395","#","Condominium conversion fee","H Comm Dev, Hous","","1/13/2016","McBride"
"HB 2396","","Homeless youth health care","H subst for","","2/15/2016","McBride"
"HB 2397","#","Housing demolitions fee","H Comm Dev, Hous","","1/13/2016","McBride"
"HB 2398","f#","Purchases/agencies for blind","C 40 L 16","","3/29/2016","Holy"
"HB 2399","f#","Law enf./num. of citations","H Rules 3C","","3/10/2016","Holy"
"EHB 2400","f#","Steel slag from electric arc","C 165 L 16","","4/1/2016","Fitzgibbon"
"HB 2401","f#","Visitation with adults","H Judiciary","","1/13/2016","Kochmar"
"HB 2402","","Relatives of incapacitated","H Judiciary","","1/13/2016","Kochmar"
"HB 2403","f","Down syndrome resources","C 70 L 16","","3/29/2016","Kochmar"
"HB 2404","f","Workplace pregnancy accom.","H Labor & Workpl","","1/13/2016","Kochmar"
"HB 2405","","Notices, records, & parties","H subst for","","2/11/2016","Muri"
"HB 2406","","Employment noncompetition","H Rules X","","2/26/2016","Manweller"
"HB 2407","","Commercial rent control","H Local Govt","","1/13/2016","Manweller"
"HB 2408","f","Health insurance contracting","H Approps","","2/3/2016","Jinkins"
"HB 2409","f","Special needs students","H Approps","","2/1/2016","Orwall"
"HB 2410","f#","Firearm conviction database","H subst for","","2/15/2016","Hayes"
"HB 2411","","Rape of a child/marriage","H Public Safety","","1/13/2016","Hayes"
"HB 2412","fe","Apple commission","H Rules X","","2/26/2016","Blake"
"HB 2413","f#","Aircraft registration","H subst for","","2/17/2016","Dent"
"HB 2414","f#","Bistate bridge project group","H Rules R","","2/5/2016","Wylie"
"HB 2415","","Worksite learning","H Education","","1/13/2016","Pike"
"HB 2416","f#","Correctional industries ins.","H Gen Govt & Info","","2/5/2016","Pike"
"HB 2417","f","Driver's licenses","H subst for","","2/10/2016","Pike"
"HB 2418","f#","Growth mgmt. hearings board","H Local Govt","","1/13/2016","Pike"
"HB 2419","f","Front license plates","H Trans","","1/13/2016","Pike"
"HB 2420","","Small parcels/ag & rural dev","H Local Govt","","1/13/2016","Pike"
"HB 2421","","Greenhouse emissions/federal","H Environment","","1/13/2016","Pike"
"HB 2422","fd","WA fish license plates","H Trans","","1/13/2016","Tarleton"
"HB 2423","f","Homeowners' assoc. ombuds","H Judiciary","","1/13/2016","Kilduff"
"HB 2424","","Hospital discharge planning","H Rules X","","2/26/2016","Tharinger"
"HB 2425","f","Massage therapists","H subst for","","2/17/2016","Kuderer"
"HB 2426","f#","Rural library trustee appt.","H Rules R","","1/28/2016","Fitzgibbon"
"HB 2427","","Local gov. modernization","H subst for","","2/16/2016","Springer"
"HB 2428","f#","Lien recording fee exemption","H Comm Dev, Hous","","1/13/2016","Wylie"
"HB 2429","f","Student assessment results","H subst for","","2/15/2016","Caldier"
"HB 2430","f","Appliance water conservation","H subst for","","2/12/2016","Stanford"
"HB 2431","","Schedule II controlled subs.","H HC/Wellness","","1/13/2016","Harris"
"HB 2432","f","Substance abuse monitoring","C 42 L 16","","3/29/2016","Riccelli"
"HB 2433","f","CPA firm mobility","H subst for","","2/11/2016","Vick"
"HB 2434","f","WA space exploration sector","H Approps","","1/29/2016","Morris"
"HB 2435","f#","Election reconcil. reports","H subst for","","2/17/2016","Hudgins"
"HB 2436","f#","Permanent ballot drop boxes","H Rules X","","2/26/2016","Hudgins"
"HB 2437","","Legislators/election year","H Rules R","","1/25/2016","Hudgins"
"HB 2438","f#","Excess liquor revenue dist.","H Approps","","2/5/2016","Nealey"
"HB 2439","f","Youth mental health services","H subst for","","2/16/2016","Kagi"
"HB 2440","f","Youth host home programs","H subst for","","2/10/2016","Kagi"
"HB 2441","","Disability comp SS offset","H subst for","","2/16/2016","Kirby"
"HB 2442","","Affordable housing zones","H Comm Dev, Hous","","1/13/2016","Appleton"
"HB 2443","fd","Conversion vending&med units","H subst for","","2/17/2016","Sells"
"HB 2444","fd","Industrial classif. system","C 168 L 16","","4/1/2016","Manweller"
"HB 2445","fo#","3rd party admins. & managers","H HC/Wellness","","1/13/2016","Robinson"
"HB 2446","","Fish & wildlife work groups","H Rules R","","2/5/2016","Rossetti"
"HB 2447","fo","Emergency healthcare billing","H Rules R","","2/4/2016","Cody"
"HB 2448","f","East Asian med. therapies","H subst for","","2/17/2016","Robinson"
"HB 2449","f#","Truancy reduction","H subst for","","2/12/2016","Orwall"
"HB 2450","f","Critical access hospitals","H subst for","","2/12/2016","Tharinger"
"HB 2451","f","Postsec. & K-12 partnerships","H Hi Ed","","1/13/2016","Stambaugh"
"HB 2452","fd","Medical licensure compact","H subst for","","2/12/2016","Riccelli"
"HB 2453","f","State hospital oversight","H subst for","","3/3/2016","Jinkins"
"HB 2454","#","Private roadway maintenance","H Local Govt","","1/13/2016","MacEwen"
"HB 2455","f","Incremental electricity","H Tech &  Econ D","","1/13/2016","Morris"
"HB 2456","f","Vessel taxes and permits","H Finance","","1/13/2016","Tarleton"
"HB 2457","#","Electric utility easements","C 98 L 16","","3/31/2016","Young"
"HB 2458","f","Rx donation program","H subst for","","2/11/2016","Parker"
"HB 2459","","GMA/economic deterioration","H Local Govt","","1/13/2016","Taylor"
"HB 2460","","Firearms/public places","H Judiciary","","1/13/2016","Walkinshaw"
"HB 2461","f#","Extreme risk protect. orders","H Judiciary","","1/13/2016","Jinkins"
"HB 2462","f#","Surrender/surety's bond","H Rules 3C","","3/10/2016","Kilduff"
"HB 2463","","Court consultation of JIS","H Judiciary","","1/13/2016","Rodne"
"HB 2464","","Abuse-deterrent opioids","H HC/Wellness","","1/13/2016","Peterson"
"HB 2465","f","Contraceptives/year supply","H subst for","","2/11/2016","Robinson"
"HB 2466","f","Nursing home facilities","H Approps","","1/14/2016","Cody"
"HB 2467","f","Rec. mineral prospecting","H Ag & Nat Res","","1/13/2016","Tarleton"
"HB 2468","","GMA/rail dependent uses","H Local Govt","","1/13/2016","Pike"
"HB 2469","f#","Filing fee petitions/digital","H State Governme","","1/13/2016","Bergquist"
"HB 2470","#","Death investigations","H Public Safety","","1/13/2016","Appleton"
"HB 2471","","Coroners/warrant authority","H Judiciary","","1/13/2016","Appleton"
"HB 2472","fe","Teacher salaries & mentoring","H Approps","","1/13/2016","Santos"
"HB 2473","f#","Culpability definitions","H Public Safety","","1/13/2016","Goodman"
"HB 2474","f","Vehicle transfers","H Trans","","1/13/2016","Harmsworth"
"HB 2475","","Health info. disclosures","H HC/Wellness","","1/13/2016","Zeiger"
"HB 2476","","180-day school year waivers","C 99 L 16","","3/31/2016","Johnson"
"HB 2477","f#","Filing fee petitions","H Rules X","","2/26/2016","Fitzgibbon"
"EHB 2478","af","Pollinator forage preserv.","C 44 L 16","","3/29/2016","Peterson"
"HB 2479","fd","Tax preferences","H Finance","","1/13/2016","Lytton"
"HB 2480","","Natural res agencies/fed gov","H Rules R","","2/4/2016","Blake"
"HB 2481","","Short-barreled rifles","H Judiciary","","1/13/2016","Blake"
"HB 2482","","Drug-free zones","H Public Safety","","1/13/2016","Blake"
"HB 2483","f#","Child sex exploit./subpoenas","H subst for","","2/15/2016","Sawyer"
"HB 2484","f","Dairy farm workplaces","H Approps","","2/5/2016","Walkinshaw"
"HB 2485","f","Hospital privileges/ARNPs","H HC/Wellness","","1/14/2016","Cody"
"HB 2486","fd","Environmental statutes","H Rules R","","2/9/2016","Fitzgibbon"
"HB 2487","fo","LEOFF 2 retirees/annuities","H Approps","","1/14/2016","Van De Wege"
"HB 2488","f#","Academic bill of rights","H Hi Ed","","1/14/2016","Manweller"
"HB 2489","","Worker wage parity","H Labor & Workpl","","1/14/2016","Manweller"
"HB 2490","","Public employee bargaining","H Labor & Workpl","","1/14/2016","Manweller"
"HB 2491","","Local wage law preemption","H Labor & Workpl","","1/14/2016","Manweller"
"HB 2492","f#","Aggravated theft or robbery","H Public Safety","","1/14/2016","Goodman"
"HB 2493","fd","Habitat & rec. lands group","H Rules 3C","","3/10/2016","Smith"
"HB 2494","f#","Marijuana offense penalties","H Rules 3C","","3/10/2016","Tarleton"
"HB 2495","f","WSPRS/military service","H Approps","","1/14/2016","Muri"
"HB 2496","fd","Military members/pro bono","H subst for","","2/17/2016","Kilduff"
"HB 2497","","Female genital mutilation","H HC/Wellness","","1/14/2016","Robinson"
"HB 2498","f","Dental prior authorization","H subst for","","2/16/2016","Caldier"
"HB 2499","","Dental procedures/insurance","H HC/Wellness","","1/14/2016","Caldier"
"HB 2500","","Impounded livestock","H subst for","","2/10/2016","Caldier"
"HB 2501","f#","Confined person health info.","H subst for","","2/11/2016","Caldier"
"HB 2502","","HCA rule-making authority","H HC/Wellness","","1/14/2016","Caldier"
"HB 2503","","Fire sprinkler systems","H subst for","","2/16/2016","Buys"
"HB 2504","f","Retail spirits license fee","H Commerce & Gam","","1/14/2016","Hurst"
"HB 2505","f#","Payroll cards","H Rules R","","2/5/2016","Hunt, G."
"HB 2506","f","Electric facilities reg plan","H Rules R","","2/9/2016","Young"
"HB 2507","f","Offender assault victims","H Rules 3C","","3/10/2016","Klippert"
"HB 2508","f#","International Plumbing Code","H Local Govt","","1/14/2016","Buys"
"HB 2509","fd#","Wildlife and recreation prg.","H Rules R","","2/5/2016","Tharinger"
"HB 2510","","Existing county statutes","H Rules R","","2/5/2016","Appleton"
"HB 2511","f","Child care center licensing","H subst for","","2/10/2016","Pike"
"HB 2512","","Automobile facility records","H Rules 3C","","3/10/2016","Clibborn"
"HB 2513","","Truancy/school assignments","H Judiciary","","1/14/2016","Klippert"
"HB 2514","f","Hunter ed/NRA spec lic plate","H Trans","","1/14/2016","Griffey"
"HB 2515","f","Medicaid reimbursement/PCPs","H Approps","","1/14/2016","Pettigrew"
"HB 2516","","Commuter ride-sharing/CTSPs","C 21 L 16","","3/25/2016","Kirby"
"HB 2517","","Dental office support","H HC/Wellness","","1/14/2016","Manweller"
"HB 2518","f","Intergenerational poverty","H subst for","","2/16/2016","Sawyer"
"HB 2519","","Nuisance abatement costs","H subst for","","2/16/2016","McCaslin"
"HB 2520","fo#","Marijuana sales/cooperatives","C 170 L 16","","4/1/2016","Wylie"
"HB 2521","fo","Marijuana disposal","C 171 L 16","","4/1/2016","Wylie"
"HB 2522","fo#","Minors/marijuana retailers","H Rules 3C","","3/10/2016","Wylie"
"HB 2523","f","Leasehold excise tax credit","H Finance","","1/14/2016","Lytton"
"HB 2524","d","Trans sup budget 2015-2017","H subst for","","2/25/2016","Clibborn"
"HB 2525","f","Transition of coal units","H Tech &  Econ D","","1/14/2016","Morris"
"HB 2526","f","State resident qualification","H Rules 3C","","3/10/2016","McCaslin"
"HB 2527","f","On-site sewage systems","H Rules R","","2/9/2016","Peterson"
"HB 2528","f","Economic dev. committees","H Rules R","","1/29/2016","Tarleton"
"HB 2529","","Recreational pass penalties","H Approps","","1/14/2016","Blake"
"HB 2530","f#","Victims of sex crimes","H subst for","","2/16/2016","Orwall"
"HB 2531","","Dentistry practice offices","H HC/Wellness","","1/14/2016","Sullivan"
"HB 2532","f","Access to library services","H Rules R","","1/25/2016","Kilduff"
"HB 2533","f#","Child sex exploit./fees","H Rules R","","2/3/2016","Kilduff"
"EHB 2534","f#","Veterans/care & support srv.","H Rules 3C","","3/10/2016","Kilduff"
"HB 2535","f","Property tax relief programs","H Finance","","1/14/2016","Stokesbary"
"HB 2536","f","Property tax relief programs","H Finance","","1/14/2016","Stokesbary"
"HB 2537","","State spending prgs. review","H Approps","","1/14/2016","Stokesbary"
"HB 2538","","Indust & manuf construction","H Finance","","1/14/2016","Stokesbary"
"HB 2539","f#","Real estate tax/inheritance","H subst for","","2/16/2016","Nealey"
"HB 2540","f","Annual tax surveys & reports","H subst for","","2/16/2016","Nealey"
"HB 2541","f#","Involuntary treatment orders","H subst for","","2/11/2016","Frame"
"HB 2542","f","WA motion picture industry","H Finance","","1/14/2016","Riccelli"
"HB 2543","f#","Civil service qualifications","H Rules 3C","","3/10/2016","Stokesbary"
"HB 2544","f#","Affordable housing/prop. tax","H Finance","","2/5/2016","Frame"
