Name, Type, Contributions, Expenditures, Debt
STAND FOR CHILDREN WA PAC, I, 522262.01, 9799.56, 0.00
STOP74NOW.COM PAC, I, 0.00, 0.00, 0.00
STRAT PAC (DYNAMIC COLLECTORS INC), O, 96350.00, 0.00, 0.00
STREET PAVERS PAC, U, 7634.46, 0.00, 0.00
STUDENT VOICE PROJECT, O, 0.00, 0.00, 0.00
STUDENTS FOR AMERICAS FUTURE, O, 0.00, 0.00, 0.00
SUPPORT YOUR LOCAL FIRE FIGHTERS, O, 0.00, 0.00, 0.00
SUSTAIN TUKWILA POOL, O, 0.00, 0.00, 0.00
SUSTAINABLE FUTURE PAC, O, 238.05, 0.00, 0.00
TACOMA-PIERCE CO BUSINESS ALLIANCE PAC, B, 10054.57, 2683.04, 0.00
TACOMANS FOR INTEGRITY IN GOVT, O, 0.00, 0.00, 0.00
TAXIPAC, O, 0.00, 0.00, 0.00
TAXPAYERS FOR A RESPONSIBLE PUBLIC PORT, O, 1322.95, 377.37, 0.00
THE AFFORDABLE HOUSING COUNCIL OF THE OLYMPIA MASTER BUILDER, B, 5635.00, 0.00, 0.00
THE HAND THAT ROCKS THE CRADLE, O, 0.00, 0.00, 0.00
THE HOSPITALITY PAC, I, 19279.55, 137.50, 0.00
THINK OPPORTUNITY, O, 0.00, 0.00, 0.00
THOSE WHO PROTECT & SERVE NORTH HIGHLINE, U, 0.00, 0.00, 0.00
THURSTON CHARTER WILL RAISE YOUR TAXES, O, 0.00, 0.00, 0.00
THURSTON CONSERVATION VOTERS, O, 0.00, 0.00, 0.00
THURSTON ENVIRONMENTAL VOTERS, O, 0.00, 0.00, 0.00
TIMBER PRODUCTS MANUFACTURERS PAC, B, 41084.11, 0.00, 0.00
TITLE INDUSTRY TACTICAL ACTION COMM OF WA, B, 0.00, 0.00, 0.00
TOWERS OF WA PAC, B, 0.00, 0.00, 0.00
TRANSPORTATION FOR WA PAC, I, 0.00, 0.00, 0.00
TRANSPORTATION WORKS PAC, I, 7564.33, 7564.33, 0.00
TREEPAC, O, 0.00, 0.00, 0.00
TRIBAL TRANSPORTATION INVESTMENT PARTNERSHIP BY WA INDIAN GAMING ASSN, I, 0.00, 0.00, 0.00
TRUTH FOR WA, O, 8681.58, 8645.96, 0.00
TUKWILA FIREFIGHTERS FOR DEMOCRACY, U, 335.00, 0.00, 0.00
TUKWILA SCHOOLS ADVISORY COUNCIL, O, 3040.06, 504.98, 0.00
TURNOUT 2012, I, 0.00, 0.00, 0.00
UFCW 21 PAC, U, 143936.17, 18507.88, 0.00
UNITED ASSN LOCAL 32 SEG FUND, U, 0.00, 0.00, 0.00
UNITED FOOD & COMMERCIAL WORKERS 367 PAC, U, 16418.09, 1003.69, 0.00
UNITED FOOD & COMMERCIAL WORKERS LOCAL 1439 ACTIVE BALLOT CLUB, U, 57128.74, 3269.99, 0.00
UNITED PSYCHOLOGISTS PAC, B, 325.00, 0.00, 0.00
UNITED STEELWORKERS LOCAL 12-369, U, 40138.66, 0.00, 0.00
UNITED SUBCONTRACTORS ASSN PAC, B, 22484.41, 3500.00, 0.00
UNITEHERE LOCAL 8 PAC, U, 771.73, 600.00, 0.00
UNIVERSITY OF WA EDUCATION COMM, O, 23257.47, 0.00, 0.00
UPTHEPAC, O, 0.00, 0.00, 0.00
VALLEY PROFESSIONAL FIRE FIGHTERS PAC, U, 3495.60, 2000.00, 0.00
VANCOUVER VITALITY, O, 0.00, 0.00, 0.00
VERIZON COMMUNICATIONS INC GOOD GOVT CLUB OF WA, B, 6495.50, 176.14, 0.00
VIPER PAC, O, 1692.32, 115.85, 0.00
VON REICHBAUER PAC, O, 0.00, 0.00, 0.00
VOTE FOR YAKIMA, O, 0.00, 0.00, 0.00
VOTERS FOR A STRONG ECONOMY, O, 2.31, 0.00, 0.00
WA & NORTHERN IDAHO DIST COUNCIL OF LABORERS PAC, U, 220066.21, 400.00, 0.00
WA AFFORDABLE HOUSING COUNCIL, B, 175907.16, 465.07, 0.00
WA AGGREGATES & CONCRETE ASSN PAC, B, 0.00, 0.00, 0.00
WA ALLIANCE FOR GREEN JOBS PAC, O, 0.00, 0.00, 0.00
WA ALLIANCE FOR GUN RESPONSIBILITY VICTORY FUND, I, 228.90, 28.00, 0.00
WA ALTERNATIVE MEDICINE ALLIANCE, I, 0.00, 0.00, 0.00
WA ANGLERS FOR CONSERVATION PAC, I, 50461.98, 14335.85, 0.00
WA APARTMENT ASSN PAC, B, 0.00, 0.00, 0.00
WA ASPHALT PAVEMENT ASSN PAC, B, 5308.55, 0.00, 0.00
WA ASSN OF MORTGAGE PROFESSIONALS PAC, B, 0.00, 0.00, 0.00
WA ASSN OF NATUROPATHIC PHYSICIANS PAC, B, 7049.00, 175.86, 1650.00
WA ASSN OF NURSE ANESTHETISTS PAC, B, 37684.66, 0.00, 0.00
WA ASSN OF VEHICLE SUBAGENTS, B, 184939.18, 28899.55, 0.00
WA ASSN OF WINE GRAPE GROWERS PAC, B, 12233.57, 0.00, 0.00
WA BEER & WINE DISTRIBUTORS ASSN PAC, B, 2148.11, 0.00, 0.00
WA BEVERAGE ASSN PAC, B, 123693.77, 6250.00, 0.00
WA BIKE PAC, I, 0.00, 0.00, 0.00
WA BIOTECHNOLOGY & BIOMEDICAL ASSN PAC, B, 59925.04, 0.00, 0.00
WA BUS PAC, I, 3874.46, 0.00, 0.00
WA CANNABUSINESS ASSN PAC, B, 50377.20, 27200.00, 0.00
WA CHAPTER AMERICAN COLLEGE OF EMERGENCY PHYSICIANS PAC, O, 4270.64, 900.24, 0.00
WA CHARTERS ACTION PAC, O, 412880.00, 14013.68, 0.00
WA COLLECTORS ASSN PAC, B, 109969.88, 0.00, 0.00
WA COMM FOR MARKET WAGES, O, 1115.07, 0.00, 0.00
WA CONSERVATION VOTERS ACTION FUND, I, 269143.09, 26761.40, 0.00
WA DAIRY PAC, B, 1019.23, 149.23, 0.00
WA DEFENSE TRIAL LAWYERS, B, 0.00, 0.00, 0.00
WA DENTURIST PAC, B, 8029.42, 23.34, 0.00
WA EAST ASIAN MEDICINE ASSN PAC, B, 0.00, 0.00, 0.00
WA EDUCATION ASSN PAC, U, 1833102.36, 375443.78, 0.00
WA ELECTRIC COOPERATIVES PAC, O, 35409.67, 0.00, 0.00
WA ELECTRIC VEHICLE ADVOCACY PAC, O, 0.00, 0.00, 0.00
WA ENGINEERS PAC, B, 33681.32, 15.00, 0.00
WA FAMILIES STANDING TOGETHER, I, 0.00, 0.00, 0.00
WA FAMILYMEDPAC, I, 5511.13, 312.47, 0.00
WA FILM PAC, O, 0.00, 0.00, 0.00
WA FIRE CHIEFS, O, 0.00, 0.00, 0.00
WA FOOD INDUSTRY, B, 117715.19, 31233.96, 0.00
WA FOOD PAC SPONSORED BY NORTHWEST FOOD PROCESSORS ASSN, B, 31293.84, 0.00, 0.00
WA FOR GOOD POLICING, O, 0.00, 0.00, 0.00
WA FOREST PROTECTION ASSN ST PAC, B, 124713.57, 3973.82, 0.00
WA FRATERNAL ORDER OF POLICE PAC, U, 61882.00, 0.00, 0.00
WA HARVEST DIVERS PAC, O, 0.00, 0.00, 0.00
WA HEALTH CARE ASSN PAC, B, 519649.02, 30312.44, 0.00
WA HOSPITAL PAC, B, 198003.00, 7300.00, 0.00
WA HOUSING ALLIANCE ACTION FUND PAC, I, 2000.00, 0.00, 0.00
WA INDEPENDENT BANKERS PAC, B, 8603.03, 0.00, 0.00
WA INDEPENDENT TELEPHONE PAC, B, 15801.73, 215.00, 0.00
WA LIBERTY PAC, O, 0.00, 0.00, 0.00
WA LODGING ASSN PAC, B, 16698.87, 0.04, 0.00
WA MASSAGE ALLIANCE FOR HEALTH, B, 0.00, 0.00, 0.00
WA MULTI-FAMILY HOUSING ASSN PAC, I, 190363.81, 32456.37, 0.00
WA OCCUPATIONAL THERAPY ADVOCATES PAC, B, 0.00, 0.00, 0.00
WA OIL MARKETERS ASSN PAC, B, 30461.72, 2400.00, 0.00
WA OPTOMETRIC PAC, B, 47933.50, 1250.00, 0.00
WA OSTEOPATHIC PHYSICIANS & SURGEONS PAC, B, 11523.39, 5187.57, 0.00
WA PHYSICAL THERAPY PAC, B, 49609.31, 37441.45, 0.00
WA PILOTS ASSN PAC, U, 0.00, 0.00, 0.00
WA PIRATE PARTY, O, 0.00, 0.00, 0.00
WA POLITICAL ACTION FOR CANDIDATE ELECTION, O, 0.00, 0.00, 0.00
WA POTATO PAC, B, 91128.47, 15.00, 0.00
WA PROFESSIONAL ENGINEERS PAC, U, 0.00, 0.00, 0.00
WA PROPANE PAC, B, 0.00, 0.00, 0.00
WA PUBLIC EMPLOYEES PAC, U, 9872.52, 7188.05, 0.00
WA REALTORS PAC, B, 1727639.69, 104303.27, 0.00
WA REFUSE & RECYCLING ASSN, B, 54191.12, 721.04, 0.00
WA RESTAURANT ASSN PAC, B, 232431.74, 10302.38, 0.00
WA RETAIL ASSN SEATTLE PAC, B, 0.00, 0.00, 0.00
WA SCHOOL PRINCIPALS LEG EFF ASSN, B, 54098.74, 6100.00, 0.00
WA SELF INSURERS ASSN LEG FUND, B, 15870.00, 0.00, 0.00
WA SMALL BUSINESS COUNCIL, B, 10522.00, 0.00, 0.00
WA SOCIETY OF CERTIFIED PUBLIC ACCOUNTANTS PAC, B, 125751.80, 578.16, 0.00
WA ST ASSN FOR JUSTICE JUSTICE FOR ALL, I, 729211.55, 306489.74, 0.00
WA ST ASSN FOR JUSTICE JUSTICE IN ACTION PAC, I, 358134.28, 0.00, 0.00
WA ST AUTO DEALERS PAC, B, 164158.65, 1050.00, 0.00
WA ST BUILDING & CONSTRUCTION TRADES COUNCIL PAC, B, 3870.00, 3150.00, 0.00
WA ST CHIROPRACTIC TRUST, B, 51323.95, 38243.51, 2821.18
WA ST CONSUMER FINANCE EDUCATION & PAC, B, 28523.89, 0.00, 0.00
WA ST COUNCIL OF CO & CITY EMPLOYEES, U, 73432.64, 28707.25, 0.00
WA ST COUNCIL OF POLICE & POLITICAL SUPPORT, U, 109563.34, 2000.00, 0.00
WA ST DENTAL HYGIENISTS ASSN PAC, B, 15989.10, 42.00, 0.00
WA ST DENTAL PAC, B, 323083.28, 1651.00, 0.00
WA ST FARM BUREAU, B, 23703.53, 6648.29, 0.00
WA ST LABOR COUNCIL AFL CIO DIME PAC, U, 73149.39, 10960.64, 0.00
WA ST LABOR COUNCIL AFL CIO PPP COMM, U, 33796.55, 8488.29, 0.00
WA ST MACHINISTS COUNCIL, U, 87456.05, 21613.57, 0.00
WA ST MEDICAL ASSN PAC, B, 298743.84, 18665.07, 0.00
WA ST NATL ORG FOR WOMEN PAC, I, 4193.13, 90.00, 0.00
WA ST NURSES ASSN PAC, B, 16660.54, 6.26, 0.00
WA ST PODIATRIC MEDICAL ASSN PAC, B, 30907.97, 1483.57, 0.00
WA ST RADIOLOGICAL SOCIETY PAC, B, 3525.00, 0.00, 0.00
WA ST SCHOOL RETIREES PAC, U, 29260.04, 982.21, 0.00
WA ST TROOPERS PAC, U, 71562.11, 25657.19, 0.00
WA ST VETERINARY MEDICAL ASSN WSVMA PAC, B, 45986.37, 292.50, 0.00
WA TAXPAYERS UNITED, O, 0.00, 0.00, 0.00
WA TEAMSTERS LEG LEAGUE, U, 336114.13, 47210.91, 0.00
WA TECHNOLOGY INDUSTRY ASSN PAC, B, 0.00, 0.00, 0.00
WA TRUCKING ASSN TRUCKING ACTION COMM, B, 19526.41, 0.00, 0.00
WA WHEAT PAC, O, 6721.62, 2.00, 0.00
WALKING AMERICA, O, 0.00, 0.00, 0.00
WALKING FOR WA, O, 114.35, 64.35, 0.00
WALLA WALLA FIRE PAC INTL ASSN OF FIREFIGHTERS LOCAL 404, U, 6755.97, 0.00, 0.00
WASHBANKPAC STATE, B, 87517.05, 0.00, 0.00
WE BELIEVE-WE VOTE, O, 5107.11, 400.00, 0.00
WEST PIERCE FIRE FIGHTERS LOCAL 1488, U, 31607.93, 150.00, 0.00
WEST SOUND CITIZENS, O, 0.00, 0.00, 0.00
WHATCOM CO AFFORDABLE HOUSING COUNCIL, B, 15288.79, 100.00, 0.00
WHATCOM COMMERCIAL FISHERMANS ASSN PAC, B, 0.00, 0.00, 0.00
WHATCOM CONSERVATION VOTERS, O, 0.00, 0.00, 0.00
WHATCOM FIRST, O, 0.00, 0.00, 0.00
WHATCOM WINS, O, 0.00, 0.00, 0.00
WIN WITH WOMEN, O, 23884.47, 966.89, 0.00
WORKER RIGHTS POLITICAL ACTION COMMITTEE, O, 0.00, 0.00, 0.00
WORKING AMERICA INDEPENDENT EXPENDITURE PAC, O, 210139.31, 204580.31, 0.00
WORKING CLASS INDEPENDENT, O, 0.00, 0.00, 0.00
WORKING FAMILIES, O, 105135.32, 0.00, 0.00
WORKING FAMILIES FOR CHANGE (THE REAGAN FUND), O, 0.00, 0.00, 0.00
WORKING FAMILIES FOR THE 5TH DIST, I, 0.00, 0.00, 0.00
WORKING FAMILIES PARTY, O, 100.00, 0.00, 0.00
WORKING TOGETHER FOR THE 17TH PAC, O, 0.00, 0.00, 0.00
WORKING WA PAC, I, 111.00, 70.00, 0.00
YAKIMA VALLEY LANDLORDS ASSN PAC, B, 0.00, 0.00, 0.00
YOUR FELLOW PATRIOTS WYLIN TJOELKER, O, 0.00, 0.00, 0.00
