 , Total Compensation, Total Personal Expenses, Total Entertainment, Total Contributions, Total Advertising, Total Political Ads, Total Other Expenses, Totals
FINLEY STEPHEN, 1150.00, 50.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1200.00
FIRTH MOLLY, 7500.00, 0.00, 0.00, 0.00, 0.00, 4071.25, 0.00, 11571.25
FISCHER MARY, 1732.46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1732.46
FISER KRISTAL, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FISHER KRISTEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FITZGERALD NATHAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FITZSIMMONS TOM, 18402.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 18402.00
FLEM LLOYD, 5800.00, 95.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5895.00
FLORES FELIPE, 3746.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3746.56
FLYGARE EHREN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FLYNN MARTIN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FORD DANIEL, 1685.05, 337.24, 0.00, 0.00, 0.00, 0.00, 0.00, 2022.29
FOROUGH ARZU, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FORTESCUE JESSICA, 42387.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 42387.50
FOSTER DAVID, 130224.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 130224.00
FOX KELLY, 2706.67, 0.00, 33750.10, 0.00, 0.00, 0.00, 0.00, 36456.77
FRANCESCONI JAMES, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FRANCO ALEX, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FRANTA THOMAS, 7358.00, 1102.00, 0.00, 9500.00, 3541.00, 291735.00, 0.00, 313236.00
FREECHILD AQUENE, 20.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 20.00
FREEMAN AMY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FRIEND CHRISTOPHER, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FROMHOLD MARCIA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GAETZ THOMAS, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GAGE ANDREW, 80.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 80.20
GAIL TORAASON MCGAFFICK INC* , 70350.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 70350.00
GALLATIN PUBLIC AFFAIRS* , 74950.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2500.00, 77450.00
GANO KATHLEEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GANO STEVE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GANO & ASSOC* , 541750.00, 2993.46, 996.83, 205.00, 0.00, 0.00, 15000.00, 560945.29
GATELESS HICKORY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GEE JANICE, 13750.00, 773.50, 85.72, 16000.00, 0.00, 0.00, 0.00, 30609.22
GEMPLER MICHAEL, 9895.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 9895.00
GERKENSMEYER CLINT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GERNEZ CECILE, 473.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 473.18
GIL SYLVIA, 2936.75, 0.00, 0.00, 0.00, 0.00, 4071.25, 0.00, 7008.00
GILBERT EVAN, 3060.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3060.00
GIPSON CARL, 5000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5000.00
GITLIN ADAM, 1028.80, 0.00, 792.00, 0.00, 0.00, 0.00, 0.00, 1820.80
GJURASIC DAVOR, 192249.90, 1350.00, 0.00, 44500.00, 2265.90, 0.00, 0.00, 240365.80
GJURASIC MARK, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GLICKMAN ADAM, 5480.44, 0.00, 0.00, 391147.67, 0.00, 0.00, 117306.41, 513934.52
GO HOLLO TATSUKO, 483.50, 1125.18, 0.00, 0.00, 0.00, 0.00, 0.00, 1608.68
GOMBOSKY JEFFREY, 230800.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 230800.00
GOMBOSKY MELISSA, 66360.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 66360.00
GONZALEZ ERIC, 18309.76, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 18309.76
GORDON W JAY, 20000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 20000.00
GORDON THOMAS HONEYWELL GOV AFFAIRS* , 827933.69, 183.21, 2544.45, 750.00, 0.00, 0.00, 7000.00, 838411.35
GORDON THOMAS HONEYWELL LAW* , 20000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 20000.00
GORDON WALGREN CONSULTING SVCS* , 10083.31, 268.64, 129.77, 65.00, 6243.35, 0.00, 0.00, 16795.07
GORTON JULIA, 22500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 22500.00
GORTON NATHAN, 30000.00, 0.00, 9846.32, 0.00, 0.00, 75075.00, 0.00, 114921.32
GOTLA RICARDO, 713.28, 790.41, 0.00, 0.00, 0.00, 0.00, 0.00, 1503.69
GOULD JON, 4300.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4300.00
GOURLEY MUNGIA INGRID, 2000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2000.00
GOVERNMENT RELATIONS SERVICES* , 36000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 36000.00
GOW JAMES, 213.22, 0.00, 0.00, 100.00, 0.00, 0.00, 0.00, 313.22
GRAD LINDSEY, 50646.80, 4407.39, 0.00, 0.00, 0.00, 0.00, 0.00, 55054.19
GRAHAM KATELYN, 5152.52, 400.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5552.52
GRAHAM SEAN, 28749.97, 823.00, 175.72, 0.00, 0.00, 0.00, 0.00, 29748.69
GRASSI LORI, 32500.00, 0.00, 0.00, 1000.00, 0.00, 0.00, 0.00, 33500.00
GRAZZINI ALISON, 32907.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 32907.75
GREEN LIGHT STRATEGIES INC* , 25300.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 25300.00
GREENBERG MARK, 18750.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 18750.00
GRIFFING ALIA, 35060.00, 0.00, 178.61, 0.00, 0.00, 0.00, 0.00, 35238.61
GRIST JOANNA, 21750.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 21750.00
GROESCH MICHAEL, 60000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 60000.00
GROSHONG LAURA, 8150.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8150.00
GROSS DANIEL, 102.66, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 102.66
GUADNOLA JOHN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GUENTHER BOB, 3051.96, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3051.96
GUEVIN TOBY, 798.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 798.14
GUNDERSEN ROSE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GURR TOM, 8250.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8250.00
GUTMAN VLADIMIR, 11807.27, 912.88, 0.00, 0.00, 0.00, 0.00, 0.00, 12719.85
H2 GOVERNMENT RELATIONS* , 179000.00, 0.00, 216.00, 0.00, 0.00, 0.00, 0.00, 179216.00
HAGGERTY CONNOR, 1450.00, 400.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1850.00
HALL KELLY, 721.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 721.20
HALL RYAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HALLOCK ERICA, 770.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 770.00
HALSAN STUART, 64437.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 64437.50
HALSTROM JAMES, 71750.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 71750.00
HAMILTON KELSI, 600.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 600.00
HAMLETT JEFFREY, 217.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 217.34
HANEY MATTHEW, 307.64, 10.68, 0.00, 3000.00, 0.00, 0.00, 0.00, 3318.32
HANON GREG, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HANSEN EMILY, 0.00, 0.00, 0.00, 16317.84, 0.00, 0.00, 28195.21, 44513.05
HANSEN HEATHER, 41884.61, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 42009.67
HANSEN MICHAEL, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HANSON DAVID, 9083.35, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 9083.35
HANSON SUZANNE, 6000.00, 50.00, 0.00, 0.00, 10.00, 0.00, 0.00, 6060.00
HART KAREN, 290.79, 49.53, 0.00, 10091.24, 0.00, 0.00, 17106.10, 27537.66
HARTMAN NEIL, 17500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17500.00
HATHEWAY ERIN, 629.85, 147.80, 0.00, 0.00, 0.00, 0.00, 0.00, 777.65
HAZLEGROVE SCOTT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HEDMAN CHRISTIE, 423.84, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 423.84
HEDRICK JAMES, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HEDRICK KATHRYN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HEDSTROM STEFFANI, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HEGLE ALISE, 9593.40, 140.58, 0.00, 0.00, 0.00, 0.00, 50.00, 9784.28
HELDER SHELLY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HELDRING MARGARET, 0.00, 0.00, 0.00, 0.00, 186.00, 0.00, 730.00, 916.00
HELLBERG ALISON, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HELLMAN JOHAN, 25000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 25000.00
HELMS ERIC, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HEPNER MATTHEW, 14339.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14339.00
HERBERT TIM, 14461.92, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14461.92
HERMACH KRISTINA, 19270.00, 0.00, 24.50, 0.00, 0.00, 0.00, 0.00, 19294.50
HERNANDEZ ELENA, 1087.76, 518.98, 0.00, 0.00, 0.00, 0.00, 0.00, 1606.74
HERRON DEBORAH, 8000.00, 1525.00, 0.00, 0.00, 0.00, 0.00, 0.00, 9525.00
HETRICK TAMMIE, 30000.00, 438.00, 0.00, 0.00, 0.00, 0.00, 0.00, 30438.00
HEWITT KATIE, 3578.25, 0.00, 0.00, 0.00, 0.00, 4071.25, 0.00, 7649.50
HICKEL MORGAN, 500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 500.00
HICKS ADINA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HILDEBRAND SCOTT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HILLIS CRAIG, 0.00, 585.06, 0.00, 0.00, 0.00, 0.00, 0.00, 585.06
HILLMAN JENNIFER, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HIMEBAUGH JAN, 2500.00, 0.00, 158.46, 0.00, 0.00, 0.00, 0.00, 2658.46
HINE JENNIFER, 400.00, 161.68, 0.00, 0.00, 0.00, 0.00, 0.00, 561.68
HINES GREGORY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HINKLE BILL, 19100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14325.00
HOFF KIMBERLY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HOFFMAN STEPHANIE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HOLDEN JON, 3910.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3910.14
HOLMSTROM CINDI, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HOMANS LUCY, 12000.00, 394.80, 0.00, 0.00, 0.00, 0.00, 0.00, 12394.80
HOOKS DOUG, 3700.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3700.00
HOOVER JAMES, 5194.00, 1917.00, 0.00, 0.00, 0.00, 0.00, 222.00, 7333.00
HOPE PAUL, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HOPKINS RENEE, 1703.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1703.00
HOUCHEN LIS, 3714.00, 374.82, 0.00, 0.00, 0.00, 0.00, 0.00, 3098.82
HOUSE TRENT, 181200.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 181200.00
HOUSKEEPER BRANDON, 20133.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 20133.00
HOVIND LINDSAY, 1800.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1800.00
HOWELL ANDREA, 322.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 322.00
HOWELL DAVE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HOWELL DOUG, 4500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4500.00
HPC ADVOCACY* , 45000.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 45000.04
HSIAO RAY, 318.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 318.00
HUANG GRACE, 1527.40, 2779.47, 0.00, 0.00, 0.00, 0.00, 1500.00, 5806.87
HULL LINDA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HUMPHREYS MAGGIE, 0.00, 0.00, 0.00, 170.48, 0.00, 0.00, 0.00, 170.48
HUNTER PATRICIA, 817.20, 348.96, 0.00, 0.00, 0.00, 0.00, 0.00, 1166.16
HUR ALEX, 124833.33, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 124833.33
HURST LISA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HYATT RANDY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HYDER BENITA, 322.80, 46.40, 0.00, 0.00, 0.00, 0.00, 0.00, 369.20
HYPPOLITE SYBILL, 953.43, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 943.43
IMLER ANDREA, 531.67, 290.00, 0.00, 0.00, 5.00, 0.00, 0.00, 826.67
JACOY CATHERINE, 7500.00, 61.56, 0.00, 0.00, 0.00, 0.00, 0.00, 7561.56
JAMES THOMAS, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
JARNOT BRITTANY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
JDM CONSULTING LLC* , 100500.00, 0.00, 311.50, 0.00, 0.00, 0.00, 0.00, 100811.50
JEAN M LEONARD* , 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
JENNINGS-SCHAFFER JENNIFER, 2700.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2700.00
JENSEN RICHARD, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
JESERNIG JIM, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
JOHN S CONNIFF PLLC* , 27125.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 27125.00
JOHNSON AMY, 15453.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15453.13
JOHNSON CHRISTOPHER, 895.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 895.00
JOHNSON ERIC, 23103.01, 0.00, 3074.75, 0.00, 0.00, 0.00, 0.00, 26177.76
JOHNSON FREEDOM, 223.75, 0.00, 0.00, 0.00, 0.00, 0.00, 598.22, 821.97
JOHNSON HOLLI, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
JOHNSON JEFFREY, 28246.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28246.40
JOHNSON KAREN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
JOHNSON KRISTOFER, 4652.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4652.09
JOHNSON MAREN, 3072.11, 1327.18, 0.00, 0.00, 0.00, 0.00, 0.00, 4399.29
JOHNSON MARK, 52708.30, 236.52, 0.00, 0.00, 0.00, 0.00, 0.00, 52944.82
JOHNSON MELISSA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
JOHNSON REBECCA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
JOHNSON TIMOTHY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
JOHNSON ARLEDGE STRATEGIES* , 234270.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28500.00, 262770.00
JONES BRIE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
JONES JENE, 6554.60, 3892.14, 129.63, 0.00, 0.00, 0.00, 0.00, 10576.37
JONES PATRICK, 15000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15000.00
JONES RICHARD, 4500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4500.00
JORDAN KATARA, 271.91, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 271.91
JUDY BRIAN, 3015.10, 2803.13, 42.32, 0.00, 0.00, 0.00, 0.00, 5860.55
JUSTIN JAMES, 163875.00, 0.00, 0.00, 0.00, 0.00, 0.00, 12000.00, 175875.00
JUSTIN TREVOR, 1500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1500.00
K & L GATES* , 810.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 810.00
KAASA CHRISTOPHER, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KAINBER JIM, 8250.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8250.00
KASK MART, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KASTAMA ISAAC, 8750.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8750.00
KAUSHIK SANDEEP, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KEATING AARON, 165.92, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 165.92
KEEGAN DENISE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KEIM BILL, 9000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 9000.00
KELLEY CASEY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KELLY JULIETTE, 15000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15000.00
KENDO JOSEPH, 19689.60, 0.00, 5.00, 0.00, 0.00, 0.00, 0.00, 19694.60
KENNEDY ZAK, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KENNY RYAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KILLPACK BRACKEN, 17500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17500.00
KING CAROLINE, 4502.65, 292.95, 0.00, 0.00, 0.00, 0.00, 0.00, 4795.60
KING JAMES, 200.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 200.00
KING PETER, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KINGSBURY JOHN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KLUMP AMANDA, 6000.00, 836.30, 0.00, 0.00, 0.00, 0.00, 29295.70, 36132.00
KNAPP JONATHAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KNUE TIMOTHY, 0.00, 493.00, 0.00, 6300.00, 6163.00, 0.00, 0.00, 12956.00
KNUTSON DAVE, 107500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 107500.00
KOHL TERRY, 42087.70, 3419.67, 0.00, 0.00, 0.00, 0.00, 0.00, 45507.37
KOHOUT SARAH, 3840.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3840.00
KOLAN KATHRYN, 32000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 32000.00
KOUNTS JOHN, 2475.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2475.00
KRAFT ELAINE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KRATZER CHRISTOPHER, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KREBS JUDITH, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KREGER BRIAN, 5325.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5325.00
KREGER BEEGHLY PLLC* , 10512.50, 302.00, 0.00, 0.00, 0.00, 0.00, 0.00, 10814.50
KROHN HERB, 20750.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 20750.00
KUKA EDLIRA, 8000.00, 131.76, 0.00, 0.00, 0.00, 0.00, 0.00, 8131.76
KURRIE JENNIFER, 3214.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3214.00
KWIATKOWSKI SARAH, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KWIECIAK THOMAS, 78500.00, 200.00, 370.94, 0.00, 0.00, 0.00, 0.00, 79070.94
LADWIG DARCI, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LAIB SUE, 222.67, 0.00, 0.00, 0.00, 0.00, 0.00, 161.97, 384.64
LAING COLLEEN, 11040.00, 1141.05, 0.00, 0.00, 0.00, 0.00, 0.00, 12181.05
LANE CLAIRE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LANE JOHN, 250.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 250.00
LANGE BRIAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LASLETT MICHAEL, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LAUBACHER CYNTHIA, 8312.26, 3727.85, 0.00, 0.00, 0.00, 0.00, 0.00, 12040.11
LAWRENCE HANSCOM JENNIFER, 1503.00, 0.00, 0.00, 0.00, 1778.00, 0.00, 0.00, 3281.00
LAWSON DENNIS, 9061.46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 9061.46
LAYTON TIM, 6820.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6820.00
LEE ANNE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LEE MELISSA, 204.38, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 204.38
LEE TONY, 6350.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6350.00
LEGAZ GINA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LEHMANN WALTRAUT, 3240.50, 341.06, 0.00, 0.00, 0.00, 0.00, 0.00, 3581.56
LEIGHTON JUSTIN, 151.48, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 151.48
LENNON STEPHANIE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LEONARD JEAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LEVINE ALEXANDER, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LEVY DOUGLAS, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LEWIS AMBER, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LEWIS SHAWN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LINCOLN FAYE, 22332.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 22332.00
LINCOLN VICTORIA, 2152.09, 0.00, 177.85, 0.00, 0.00, 0.00, 0.00, 2329.94
LINDEKUGEL BEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LINDQUIST PHILIP, 430.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 430.10
LINDSAY ELIZABETH, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LINDSAY JOHANNA, 2021.47, 289.17, 0.00, 0.00, 0.00, 0.00, 0.00, 2310.64
LINDSTROM STEPHEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LIPPOLD LAURA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LITTLE DEDI, 30401.65, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 30401.65
LMH INC* , 41600.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 58400.00
LOESCH MARTIN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LOGINSKY PAMELA, 549.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 549.31
LOGUE CAROLYN, 94185.00, 106.64, 0.00, 0.00, 0.00, 0.00, 0.00, 94291.64
LOHNES ERIC, 15673.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15673.75
LONG NOAH, 783.54, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 783.54
LOPEZ KENT, 27000.00, 0.00, 1649.19, 0.00, 0.00, 0.00, 0.00, 28649.19
LORD DAVID, 3624.00, 1010.93, 0.00, 0.00, 0.00, 0.00, 0.00, 4634.93
LOWENBERG TIM, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LUDDEN KIRK, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LUND JAMI, 1035.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1035.00
LYNE WILLIAM, 78.81, 306.94, 0.00, 354.64, 0.00, 0.00, 0.00, 740.39
M J DURKAN INC* , 173786.65, 462.00, 0.00, 0.00, 0.00, 0.00, 0.00, 174248.65
MACAULAY SHANE, 160.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 160.00
MACCAUL CATHLEEN, 10100.00, 800.00, 0.00, 0.00, 25000.00, 0.00, 0.00, 35900.00
