Bill,Flags,Title,Status,Veto,Date,Original Sponsor,Committee Sponsor,Companion Bills,Last Roll Call,Latest Committee Recommendation,Sponsor (combined),Secondary Sponsor,This Committee Recommendation
"HB 1645","fe","E-cigarettes, vapor products","H subst for","","2/12/2016","Pollet","","SB 5573(S Health Care)","","DP2S(w/o sub COG)18 DNP14 (APP 15)","Pollet","Harris",""
"HB 1646","f","Equal pay and opportunities","H subst for","","3/11/2015","Senn","","SB 5630(S Commerce and L)","","DPS5 DNP2 (LAWS 15)","Senn","Walsh",""
"HB 1647","f#","Reproductive health care","H Rules 3C","","4/24/2015","Cody","","SB 5574(S Health Care)","51-46-0-1","DP19 DNP12 w/oRec2 (APP 15)","Cody","Takko",""
"HB 1648","f#","Infrastructure/local govt","H Finance","","2/13/2015","Walsh","","SB 5109(S subst for)","","DP7 (CDHT 15)","Walsh","Springer",""
"HB 1649","f#","Collection agency costs","H Comm Dev, Hous","","1/26/2015","Sawyer","","SB 5536(S Rules X)","","","Sawyer","Shea",""
"HB 1650","","Marijuana seizing, disposing","H Commerce & Gam","","1/26/2015","Hurst","","","","","Hurst","Hudgins",""
"HB 1651","f","Human trafficking","H subst for","","3/10/2015","Ryu","","SB 5342(C 4 L 16)","","DPS7 (LAWS 15)","Ryu","Goodman",""
"HB 1652","afo","Medicaid managed health care","C 256 L 15","","5/14/2015","Cody","","SB 5590(S Ways & Means)","95-0-0-3","DPA(HLTH)23 (WM 15)","Cody","Harris",""
"HB 1653","f","Studded tire permits","H Trans","","1/26/2015","Reykdal","","","","","Reykdal","Takko",""
"HB 1654","f#","Pollen-rich plants for bees","H subst for","","3/6/2015","Peterson","","","","DP2S(w/o sub AGNR)7 (GGIT 15)","Peterson","Lytton",""
"HB 1655","","Motorcycle safety ed adv brd","H Trans","","1/26/2015","Moscoso","","","","","Moscoso","Shea",""
"HB 1656","f#","Property assessment appeals","H Rules R","","2/13/2015","Takko","","SB 5588(S Rules X)","","DP5 DNP4 (LG 15)","Takko","Springer",""
"HB 1657","f#","Property assessment appeals","H Rules R","","2/13/2015","Takko","","SB 5875(S Rules X)","","DP5 DNP4 (LG 15)","Takko","Springer",""
"HB 1658","","Property assessment appeals","H Local Govt","","1/26/2015","Springer","","SB 5876(S GovtOp&Sec)","","","Springer","Tarleton",""
"HB 1659","f","Group life & disability ins.","H Rules 3C","","3/10/2016","Vick","","SB 5581(C 143 L 16)","96-1-0-0","DP9 (FI 16)","Vick","Kirby",""
"HB 1660","","Fishing opportunities, users","H Ag & Nat Res","","1/26/2015","Pike","","SB 5844(S Natural Resour)","","","Pike","Reykdal",""
"HB 1661","","Capital budget resources","H Approps","","1/26/2015","Pike","","","","","Pike","Manweller",""
"HB 1662","","Trans projects, design-build","H Trans","","1/26/2015","Pike","","","","","Pike","Orcutt",""
"HB 1663","","Trans policy brds/legislator","H Trans","","1/26/2015","Pike","","","","","Pike","Wilson",""
"HB 1664","f","License plates/one, optional","H Trans","","1/26/2015","Hunt, G.","","","","","Hunt, G.","Jinkins",""
"HB 1665","f","School director compensation","H Education","","1/26/2015","Carlyle","","","","","Carlyle","Lytton",""
"HB 1666","f","St-wide student assessments","H Approps","","2/1/2016","Magendanz","","","90-8-0-0","DP19 (ED 16)","Magendanz","Lytton",""
"HB 1667","f","Bleeding disorders","H subst for","","3/4/2015","Cody","","","","DPS31 DNP2 (APP 15)","Cody","Jinkins",""
"HB 1668","f#","Sexually violent predators","H subst for","","3/6/2015","Kilduff","","SB 5099(S Rules X)","","DPS(PS)24 DNP7 w/oRec2 (APP 15)","Kilduff","Muri",""
"HB 1669","f","Health care coverage","H Approps","","2/20/2015","Riccelli","","SB 5625(S Health Care)","","DPS8 DNP3 w/oRec4 (HCW 15)","Riccelli","Harris",""
"HB 1670","","Agricultural innovations","H Tech &  Econ De","","1/11/2016","Walkinshaw","","","","DP13 (TED 15)","Walkinshaw","Schmick",""
"HB 1671","","Opioid antagonists","H subst for","","3/2/2015","Walkinshaw","","","","DPS15 (HCW 15)","Walkinshaw","Griffey",""
"HB 1672","fd","Reports of child abuse/info","H Erly Lrn/H Svc","","1/11/2016","Kagi","","","57-40-0-1","DP11 (ELHS 15)","Kagi","Walsh",""
"HB 1673","fd","Substance abuse programs","H Approps","","2/17/2015","Kagi","","SB 5245(S HumSer/MenHlth/)","","DPS10 (ELHS 15)","Kagi","Condotta",""
"HB 1674","fd","Youthful offenders, reentry","C 156 L 15","","5/1/2015","Pettigrew","","SB 5663(S Rules X)","49-0-0-0","DP4 w/oRec1 (HSMH 15)","Pettigrew","Walsh",""
"HB 1675","","Biological product prescrips","H HC/Wellness","","1/26/2015","Sullivan","","","","","Sullivan","Schmick",""
"HB 1676","f","Wild ungulates, predation","H subst for","","3/10/2015","Short","","","","DPS7 (GGIT 15)","Short","Lytton",""
"HB 1677","f#","Forest fires & firefighters","H Ag & Nat Res","","1/26/2015","Short","","","","","Short","Kretz",""
"HB 1678","fd","Electronic commerce taxation","H Finance","","1/11/2016","Carlyle","","SB 5541(S Rules X)","","DPS13 DNP2 w/oRec1 (FIN 15)","Carlyle","Nealey",""
"HB 1679","","Biological products","H HC/Wellness","","1/26/2015","Moeller","","","","","Moeller","Harris",""
"HB 1680","f","Spirits sales tax reduction","H Commerce & Gam","","1/26/2015","Condotta","","SB 5711(S Commerce and L)","","","Condotta","Hurst",""
"HB 1681","f#","Maritime trades industry","H Finance","","2/20/2015","Tharinger","","","","DP13 (TED 15)","Tharinger","Wilcox",""
"HB 1682","f","Homeless students","H subst for","","3/6/2015","Fey","","SB 5065(S Ways & Means)","","DP2S(w/o sub ED)28 DNP5 (APP 15)","Fey","Stambaugh",""
"HB 1683","","Provider comp. disclosure","H HC/Wellness","","1/26/2015","Clibborn","","SB 5443(S Health Care)","","","Clibborn","DeBolt",""
"HB 1684","f","Public records, charges for","H Rules R","","2/27/2015","Takko","","","","DPS(SG)18 DNP14 w/oRec1 (APP 15)","Takko","Nealey",""
"HB 1685","f","Washington food policy forum","H subst for","","3/6/2015","Gregerson","","","","DPS(AGNR)4 DNP3 (GGIT 15)","Gregerson","Hudgins",""
"HB 1686","","Incandescent light bulbs","H Judiciary","","1/26/2015","Scott","","","","","Scott","Young",""
"HB 1687","","Right to life","H HC/Wellness","","1/26/2015","Scott","","","","","Scott","McCaslin",""
"HB 1688","","Traffic safety cameras","H Trans","","1/26/2015","Scott","","","","","Scott","Taylor",""
"HB 1689","f","In-state broadcasters, taxes","H Finance","","1/11/2016","Reykdal","","","","DPS16 (FIN 15)","Reykdal","Nealey",""
"HB 1690","f#","Convention cntrs tx deferral","H Finance","","2/20/2015","Walkinshaw","","SB 5571(S Ways & Means)","","DPS10 DNP1 w/oRec2 (TED 15)","Walkinshaw","Rodne",""
"HB 1691","","Public records act, remedies","H State Governme","","1/26/2015","Van De Wege","","","","","Van De Wege","Hunt, S.",""
"HB 1692","","Imitation firearms","H Judiciary","","1/26/2015","Wylie","","","","","Wylie","",""
"HB 1693","f","UW altern. contract-awarding","H Cap Budget","","1/11/2016","Pollet","","","","DPS9 (CB 15)","Pollet","Tarleton",""
"HB 1694","","Thanksgiving day, working on","H Labor","","1/26/2015","Sells","","","","","Sells","Peterson",""
"HB 1695","f#","Construction aggregate, etc.","H subst for","","3/11/2015","Clibborn","","SB 5480(S Transportation)","","DPS(ENVI)24 w/oRec1 (TR 15)","Clibborn","Hayes",""
"HB 1696","fd","Higher ed tuition setting","H subst for","","3/4/2015","Haler","","SB 5484(S Ways & Means)","","DPS(HE)32 w/oRec1 (APP 15)","Haler","",""
"HB 1697","d","Commute trip reduction","H Trans","","1/26/2015","Springer","","","","","Springer","Fitzgibbon",""
"HB 1698","f","Medical cannabis","H Commerce & Gam","","1/26/2015","Appleton","","","","","Appleton","Moscoso",""
"HB 1699","","Citizen wildfire control","H Judiciary","","1/26/2015","Blake","","","","","Blake","Kretz",""
"HB 1700","f","Qualified health plan claims","H HC/Wellness","","1/27/2015","Riccelli","","SB 5340(S Health Care)","","","Riccelli","Manweller",""
"HB 1701","","Job applicants/arrests, etc.","H Rules X","","2/26/2016","Moscoso","","SB 5608(S Commerce and L)","","DP2S4 DNP3 (LAWS 16)","Moscoso","Walsh",""
"HB 1702","f#","Fireworks, regulation of","H Local Govt","","1/11/2016","Moscoso","","SB 5914(S Rules X)","","DPS6 DNP3 (LG 15)","Moscoso","Vick",""
"HB 1703","fd","High school assessmnt system","H Education","","1/27/2015","Santos","","SB 5520(S EL/K-12)","","","Santos","Pollet",""
"HB 1704","f","Safety & reducing recidivism","H Approps","","1/11/2016","Pettigrew","","","70-27-0-1","DP22 DNP10 w/oRec1 (APP 15)","Pettigrew","Haler",""
"HB 1705","fo","Basic education for adults","H Approps","","2/20/2015","Haler","","SB 5619(S Ways & Means)","","DP9 DNP2 w/oRec2 (HE 15)","Haler","Reykdal",""
"HB 1706","fo","College fees/military member","C 143 L 15","","4/29/2015","Stanford","","SB 5620(S Rules X)","49-0-0-0","DP6 (HIE 15)","Stanford","Zeiger",""
"HB 1707","","Irrigation district admin.","H Local Govt","","1/11/2016","Takko","","SB 5556(C 34 L 15)","","DP9 (LG 15)","Takko","Dent",""
"HB 1708","f#","Irrigation distr. facilities","H Local Govt","","1/27/2015","Dent","","SB 5554(S Rules X)","","","Dent","Takko",""
"HB 1709","","Impact fee payment","H Rules C","","3/13/2015","Springer","","","","DPS6 DNP3 (LG 15)","Springer","Kretz",""
"HB 1710","f","Food supply, in-state","H Approps","","2/20/2015","Tarleton","","","","DPS13 (TED 15)","Tarleton","Walkinshaw",""
"HB 1711","","Public works contractors","H Rules R","","2/13/2015","Senn","","","","DP5 DNP3 w/oRec1 (CB 15)","Senn","Condotta",""
"HB 1712","f","Audit protocols for medicaid","H HC/Wellness","","1/27/2015","Harris","","","","","Harris","Riccelli",""
"HB 1713","f","Mental hlth, chem dependency","H subst for","","3/9/2015","Cody","","","","DPS(JUDI-A APP)18 DNP14 w/oRec1 (APP 15)","Cody","Harris",""
"HB 1714","f","Achievemnt index rating syst","H Education","","1/11/2016","Manweller","","","","DPS21 (ED 15)","Manweller","Bergquist",""
"HB 1715","fd#","On-site sewage mgmt plans","H Environment","","1/11/2016","Peterson","","","","DP2S(w/o sub ENVI)18 DNP13 w/oRec1 (APP 15)","Peterson","Fitzgibbon",""
"HB 1716","f#","Immigration detainers, etc.","H Rules C","","3/13/2015","Moscoso","","","","DPS(PS)4 DNP3 (GGIT 15)","Moscoso","Appleton",""
"HB 1717","f","Children's advocacy centers","H Erly Lrn/H Svc","","1/27/2015","Sawyer","","SB 5865(S HumSer/MenHlth)","","","Sawyer","Walsh",""
"HB 1718","f#","PSERS/offender nursing care","H subst for","","3/6/2015","Ormsby","","SB 5703(S Ways & Means)","","DPS24 DNP8 w/oRec1 (APP 15)","Ormsby","Kilduff",""
"HB 1719","fd","Pharmacy assistants","H HC/Wellness","","1/27/2015","Robinson","","SB 5549(C 4 L 16 E1)","","","Robinson","Cody",""
"HB 1720","f","Healthy housing","C 50 L 15","","4/22/2015","Robinson","","","48-1-0-0","DP4 w/oRec1 (HSMH 15)","Robinson","Peterson",""
"HB 1721","f","Ambulance patient transport","H subst for","","3/2/2015","Robinson","","","","DPS15 (HCW 15)","Robinson","Schmick",""
"HB 1722","","Short-barreled rifles","H Judiciary","","1/27/2015","Hayes","","","","","Hayes","Blake",""
"HB 1723","#","Jail booking photos, public","H Rules R","","2/20/2015","Hayes","","","","DPS8 DNP1 (PS 15)","Hayes","Hurst",""
"HB 1724","f#","Ballots, prepaid postage","H State Governme","","1/27/2015","Walkinshaw","","SB 5344(S Ways & Means)","","","Walkinshaw","Hunt, S.",""
"HB 1725","fd","DSHS provider payment/hrs/wk","H subst for","","6/29/2015","Cody","","SB 5709(S Ways & Means)","","DPS30 DNP2 w/oRec1 (APP 15)","Cody","Tharinger",""
"HB 1726","fd","Vulnerable adults, abuse of","H Judiciary","","1/11/2016","Moeller","","SB 5600(S subst for)","","DPS12 DNP1 (JUDI 15)","Moeller","Jinkins",""
"HB 1727","","Nursing assistants","H subst for","","3/4/2015","Schmick","","","","DPS13 (HCW 15)","Schmick","Cody",""
"HB 1728","f#","Parents for parents program","H Erly Lrn/H Svc","","1/11/2016","Ormsby","","SB 5486(S subst for)","","DP2S(w/o sub ELHS)29 DNP4 (APP 15)","Ormsby","Walsh",""
"EHB 1729","f#","Domestic violence victims","H Public Safety","","1/11/2016","Pettigrew","","SB 5631(S subst for)","92-6-0-0","DPA(HSMH)22 w/oRec1 (WM 15)","Pettigrew","Magendanz",""
"HB 1730","","Earnest money, handling of","H subst for","","3/10/2015","Kirby","","","","DPS10 (BFS 15)","Kirby","Vick",""
"HB 1731","f#","Firearms, return by law enf.","H Judiciary","","1/11/2016","Ormsby","","SB 5381(S subst for)","","DPS13 (JUDI 15)","Ormsby","Riccelli",""
"HB 1732","f#","Health care employees","H Approps","","1/11/2016","Reykdal","","","52-46-0-0","DP18 DNP12 w/oRec2 (APP 15)","Reykdal","Riccelli",""
"HB 1733","f#","Nursing staffing, hospitals","H Approps","","2/17/2015","Cody","","SB 5672(S Commerce and L)","","DP8 DNP7 (HCW 15)","Cody","Ryu",""
"HB 1734","f#","One family one team/court","H Judiciary","","1/12/2016","Kagi","","","","DPS9 DNP4 (JUDI 15)","Kagi","Walsh",""
"HB 1735","f","Extended foster care","H subst for","","3/5/2015","Orwall","","SB 5740(S subst for)","","DP2S(w/o sub ELHS)28 DNP5 (APP 15)","Orwall","Kagi",""
"HB 1736","f","Aerospace tax preferences","H Finance","","2/20/2015","Orcutt","","","","DP12 w/oRec1 (TED 15)","Orcutt","Blake",""
"HB 1737","f","Retired teachers/substitutes","H subst for","","3/9/2015","Orcutt","","","","DPS31 DNP2 (APP 15)","Orcutt","Santos",""
"HB 1738","f","Marine etc. fuel tax refunds","H subst for","","3/9/2015","Orcutt","","SB 5617(S Transportation)","","DPS24 (TR 15)","Orcutt","Clibborn",""
"HB 1739","f#","Death penalty, eliminating","H Judiciary","","1/27/2015","Carlyle","","SB 5639(S Law & Justice)","","","Carlyle","Walsh",""
"HB 1740","f","Health coverage through PEBB","H subst for","","3/9/2015","Appleton","","SB 5731(S Health Care)","","DPS22 DNP7 w/oRec4 (APP 15)","Appleton","Ryu",""
"HB 1741","f","Disabled/rec lands pass exem","H Gen Govt & Info","","2/19/2015","Kretz","","","","DPS11 (ENVI 15)","Kretz","Blake",""
"HB 1742","fd","Cottage food operations","H Ag & Nat Res","","1/11/2016","Lytton","","SB 5603(C 196 L 15)","","DP11 DNP2 (AGNR 15)","Lytton","Young",""
"HB 1743","f","High sch equivalency tests","H Hi Ed","","1/27/2015","Lytton","","SB 5676(S Ways & Means)","","","Lytton","Pollet",""
"HB 1744","fd","Inmate funds","H Public Safety","","1/11/2016","Appleton","","SB 5650(C 238 L 15)","","DPS(PS)7 (GGIT 15)","Appleton","",""
"HB 1745","f#","Voting rights","H subst for","","3/5/2015","Moscoso","","SB 5668(S Rules X)","","DPS4 DNP3 (SG 15)","Moscoso","Bergquist",""
"HB 1746","f","Tow truck operator licensing","H Public Safety","","1/28/2015","Pollet","","","","","Pollet","Hayes",""
"HB 1747","f#","Firearms storage","H Judiciary","","1/28/2015","Kagi","","SB 5789(S Law & Justice)","","","Kagi","Jinkins",""
"HB 1748","f#","Motorcycle helmet use","H Trans","","1/28/2015","Blake","","SB 5198(S Transportation)","","","Blake","Shea",""
"HB 1749","f","Contractor registration","H subst for","","3/6/2015","MacEwen","","SB 5847(S Rules X)","","DPS7 (LAWS 15)","MacEwen","Manweller",""
"HB 1750","f","Sudden cardiac arrest","H Education","","1/28/2015","Ortiz-Self","","SB 5083(S subst for)","","","Ortiz-Self","Magendanz",""
"HB 1751","#","Transit construction/parking","H Trans","","1/28/2015","Santos","","SB 5343(S subst for)","","","Santos","",""
"EHB 1752","","Chief examiners","C 82 L 16","","3/31/2016","Hawkins","","","48-0-0-1","DP5 (GOS 16)","Hawkins","Takko",""
"HB 1753","","Cannabis hlth & beauty aids","H Commerce & Gam","","1/28/2015","Ryu","","SB 5493(S Rules X)","","","Ryu","Shea",""
"HB 1754","","Building envelope/public wrk","H subst for","","3/5/2015","Buys","","","","DPS9 (CB 15)","Buys","Dunshee",""
"HB 1755","fd","Livestock movement reporting","H Ag & Nat Res","","1/11/2016","Pettigrew","","SB 5733(S subst for)","","DPS9 DNP4 (AGNR 15)","Pettigrew","Stanford",""
"HB 1756","f#","Cmty policing/W St. hospital","H Approps","","2/18/2015","Kilduff","","SB 5261(S Ways & Means)","","DPS5 DNP4 (PS 15)","Kilduff","Muri",""
"HB 1757","f#","Local transportation options","H Trans","","1/11/2016","Fey","","","","DP13 DNP11 (TR 15)","Fey","Muri",""
"HB 1758","fd","Biofuel, etc., tax prefs","H Finance","","2/20/2015","Tharinger","","SB 5700(S Ways & Means)","","DPS13 (TED 15)","Tharinger","Wilcox",""
"HB 1759","f","Computer data ctrs, tax exem","H Finance","","2/20/2015","Manweller","","","","DPS9 DNP1 w/oRec3 (TED 15)","Manweller","Ormsby",""
"HB 1760","f","Student skills","H Approps","","2/20/2015","Senn","","SB 5688(S subst for)","","DPS19 DNP2 (ED 15)","Senn","Magendanz",""
"HB 1761","f","Insurance producers, etc.","H subst for","","3/10/2015","Stanford","","SB 5743(S subst for)","","DPS10 (BFS 15)","Stanford","Vick",""
"HB 1762","f","Health insurer and provider","H subst for","","3/9/2015","Riccelli","","SB 5474(S Health Care)","","DPS12 DNP2 w/oRec1 (HCW 15)","Riccelli","Schmick",""
"HB 1763","f","Music licensing agencies","H subst for","","3/5/2015","Van De Wege","","","","DP2S(w/o sub BFS)7 (GGIT 15)","Van De Wege","Lytton",""
"HB 1764","fd","Composite manufacturing, etc","H Finance","","2/20/2015","Van De Wege","","SB 5701(S Ways & Means)","","DP13 (TED 15)","Van De Wege","Stokesbary",""
"HB 1765","","Marijuana in pill form only","H Commerce & Gami","","1/28/2015","Klippert","","","","","Klippert","",""
"HB 1766","","Medical marijuana","H HC/Wellness","","1/28/2015","Cody","","","","","Cody","Schmick",""
"HB 1767","f","State need grant renewal/GPA","H Hi Ed","","1/28/2015","Hargrove","","","","","Hargrove","Walsh",""
"HB 1768","","Brewery promotional items","H Commerce & Gam","","1/28/2015","Kirby","","SB 5662(C 94 L 15)","","","Kirby","Vick",""
"HB 1769","fd","High-tech R&D tax prefs","H Finance","","3/5/2015","Pettigrew","","SB 5665(S Rules X)","","DP12 w/oRec1 (TED 15)","Pettigrew","Wilcox",""
"EHB 1770","fo","Teacher certification","H Rules 3C","","3/10/2016","Bergquist","","SB 5496(S Rules X)","97-0-0-1","DP21 (ED 15)","Bergquist","Magendanz",""
"HB 1771","fo","Prof. educator standards brd","H Education","","1/11/2016","Gregory","","SB 5497(S Rules X)","57-41-0-0","DP17 DNP4 (ED 15)","Gregory","Magendanz",""
"HB 1772","","WA state bar association","H Judiciary","","1/28/2015","Shea","","","","","Shea","McCaslin",""
"HB 1773","","Bargaining unit reps","H Labor","","1/28/2015","Hunt, G.","","SB 5602(S Rules X)","","","Hunt, G.","Magendanz",""
"HB 1774","","The right to work","H Labor","","1/28/2015","Shea","","","","","Shea","Scott",""
"HB 1775","fd","Special commitment center","H Approps","","1/11/2016","Cody","","SB 5693(C 271 L 15)","","DP30 DNP3 (APP 15)","Cody","Jinkins",""
"HB 1776","f","Marijuana producers, etc.","H Commerce & Gam","","1/28/2015","Condotta","","","","","Condotta","Hurst",""
"HB 1777","","Collective bargaining","H Labor","","1/28/2015","Condotta","","","","","Condotta","Manweller",""
"HB 1778","","Workers' comp str settlemnts","H Labor","","1/28/2015","Condotta","","","","","Condotta","Manweller",""
"HB 1779","f","Victim interviews training","C 159 L 15","","5/1/2015","Van De Wege","","","46-2-0-1","DP11 w/oRec1 (HLTH 15)","Van De Wege","Johnson",""
"HB 1780","f","Interpreter services","H Approps","","2/20/2015","Bergquist","","","","DPS4 DNP3 (SG 15)","Bergquist","Jinkins",""
"HB 1781","f","I-90 max. rural county speed","H Trans","","1/28/2015","Schmick","","SB 5228(S Rules X)","","","Schmick","Hayes",""
"HB 1782","","Universal comm services prog","H Approps","","1/28/2015","Wilcox","","SB 5670(S subst for)","","","Wilcox","Springer",""
"HB 1783","f","Dual language instruction","H subst for","","3/4/2015","Ortiz-Self","","SB 5675(S Ways & Means)","","DPS23 DNP10 (APP 15)","Ortiz-Self","Walkinshaw",""
"HB 1784","f","Nursing home quality","H Approps","","2/20/2015","Tharinger","","","","DPS9 DNP5 w/oRec1 (HCW 15)","Tharinger","Cody",""
"HB 1785","fo","Academic achievement certif.","H Approps","","2/20/2015","Reykdal","","","","DP14 DNP4 w/oRec3 (ED 15)","Reykdal","Taylor",""
"HB 1786","f","Aerospace wages & incentives","H Finance","","2/20/2015","Gregerson","","","","DPS4 DNP3 (LAWS 15)","Gregerson","Tarleton",""
"HB 1787","","Patient-provider protection","H HC/Wellness","","1/28/2015","Riccelli","","SB 5770(S Health Care)","","","Riccelli","Jinkins",""
"HB 1788","f#","Invasion of privacy","H Public Safety","","1/28/2015","Wylie","","","","","Wylie","Holy",""
"HB 1789","","Real estate excise tax","H Local Govt","","1/28/2015","Springer","","","","","Springer","Nealey",""
"HB 1790","f","Nurse in school setting","H subst for","","3/10/2015","Springer","","SB 5765(S EL/K-12)","","DPS19 DNP1 (ED 15)","Springer","Muri",""
"HB 1791","","Wolf-livestock interactions","H Ag & Nat Res","","1/28/2015","Kretz","","SB 5963(S Natural Resourc)","","","Kretz","Blake",""
"HB 1792","f","Wolf conserv. & mgmt plan","H Ag & Nat Res","","1/28/2015","Kretz","","SB 5962(S Natural Resour)","","","Kretz","Blake",""
"HB 1793","f#","Alternative water procuring","H subst for","","3/5/2015","Lytton","","","","DPS(AGNR)5 DNP2 w/oRec2 (CB 15)","Lytton","Stanford",""
"HB 1794","fo","Infants, toddlers/disability","H Rules R","","2/17/2015","Sawyer","","SB 5879(C 57 L 16)","","DP8 DNP2 (ELHS 15)","Sawyer","Walsh",""
"HB 1795","","Learning assistance program","H Education","","1/29/2015","Sullivan","","SB 5690(S EL/K-12)","","","Sullivan","Magendanz",""
"HB 1796","f","Radio & TV broadcasting/tax","H Finance","","1/29/2015","Reykdal","","SB 5641(S Ways & Means)","","","Reykdal","Nealey",""
"HB 1797","","Legal notice etc publication","H Judiciary","","1/29/2015","Sawyer","","","","","Sawyer","Pollet",""
"HB 1798","","Anticipated tax, assessments","H Rules R","","2/12/2015","Takko","","","","DP9 (LG 15)","Takko","Griffey",""
"HB 1799","f#","County electronic auctions","H Local Govt","","1/11/2016","Nealey","","SB 5768(C 95 L 15)","","DP9 (LG 15)","Nealey","Haler",""
"HB 1800","f#","Parental rights termination","H subst for","","3/9/2015","Hargrove","","","","DPS10 (ELHS 15)","Hargrove","Kagi",""
"HB 1801","","Child support","H Judiciary","","1/29/2015","Moeller","","SB 5388(S Law & Justice)","","","Moeller","",""
"HB 1802","","Long-range planning costs","H Local Govt","","1/11/2016","Fitzgibbon","","","","DP5 DNP4 (LG 15)","Fitzgibbon","Takko",""
"HB 1803","fd","Office of financial mgmt","H Gen Govt & Inf","","1/29/2015","Hunt, S.","","","","","Hunt, S.","Holy",""
"HB 1804","o","Educator professional growth","H Rules 3C","","3/10/2016","Springer","","SB 5495(S GovtOp&StSec)","78-18-0-1","DP8 w/oRec1 (EDU 16)","Springer","Magendanz",""
"HB 1805","f","""School day"" definition","H Education","","1/29/2015","Magendanz","","","","","Magendanz","Manweller",""
"HB 1806","","Election statute references","H subst for","","3/3/2015","Van Werven","","","","DPS7 (SG 15)","Van Werven","Bergquist",""
"HB 1807","f","Small business spirits sales","H subst for","","3/10/2015","Condotta","","","","DP2S(w/o sub COG)31 DNP1 (APP 15)","Condotta","Hurst",""
"HB 1808","f","Railroad employees/vehicles","H subst for","","3/10/2015","Stanford","","SB 5797(S Transportation)","","DPS21 DNP1 w/oRec1 (TR 15)","Stanford","Manweller",""
"HB 1809","f","Crew size on certain trains","H Rules X","","2/26/2016","Haler","","SB 5697(S Commerce and L)","","DPS4 DNP3 (LAWS 15)","Haler","Blake",""
"HB 1810","f","Higher education support","H Approps","","1/29/2015","Holy","","","","","Holy","Hunt, S.",""
"HB 1811","","Higher ed bonus restrictions","H Hi Ed","","1/29/2015","Holy","","","","","Holy","Ormsby",""
"HB 1812","f","High-achieving HS students","H Approps","","2/17/2015","Hansen","","","","DP12 (HE 15)","Hansen","Magendanz",""
"HB 1813","f","Computer science education","H subst for","","3/5/2015","Hansen","","","","DPS29 DNP2 (APP 15)","Hansen","Magendanz",""
"HB 1814","f","CPA scholarship program","H Approps","","2/20/2015","Tarleton","","SB 5534(S subst for)","","DPS13 (HE 15)","Tarleton","Haler",""
"HB 1815","","Local govt treasuries","H Local Govt","","1/11/2016","Wylie","","SB 5767(S subst for)","","DPS5 DNP4 (LG 15)","Wylie","Harris",""
"HB 1816","","Admin rules review committee","H State Governme","","1/29/2015","Wilson","","","","","Wilson","Wylie",""
"HB 1817","","Wheeled all-terrain vehicles","C 160 L 15","","5/1/2015","Shea","","","47-0-1-1","DP7 (LAW 15)","Shea","Taylor",""
"HB 1818","","WA boundary lines/two states","H State Governme","","1/29/2015","Shea","","","","","Shea","McCaslin",""
"HB 1819","","Political committee acct bks","C 54 L 15","","4/22/2015","Wilson","","","44-0-1-4","DP5 (GOS 15)","Wilson","Griffey",""
"HB 1820","f","EBT cards/higher ed students","H Rules 3C","","4/24/2015","Reykdal","","SB 5794(S HumSer/MenHlth)","68-29-0-1","DP7 DNP3 (ELHS 15)","Reykdal","Zeiger",""
"HB 1821","f#","For hire, limo, taxi/ind ins","H Labor & Workpla","","1/11/2016","Sullivan","","SB 5710(S Commerce and L)","80-17-0-1","DP4 DNP3 (LAWS 15)","Sullivan","Manweller",""
"HB 1822","f","Commute trip reduction tx cr","H subst for","","4/10/2015","Farrell","","","","DPS23 DNP1 w/oRec1 (TR 15)","Farrell","Orcutt",""
"HB 1823","fd","Food processing tax prefs","H Finance","","1/29/2015","Nealey","","SB 5698(S Rules X)","","","Nealey","Springer",""
"HB 1824","","Long-life smoke detectors","H Rules C","","3/13/2015","Takko","","","","DPA5 DNP4 (LG 15)","Takko","Johnson",""
"HB 1825","fe","Resident student/veterans","H subst for","","3/9/2015","Kilduff","","SB 5355(S subst for)","","DP2S(w/o sub HE)24 DNP7 w/oRec2 (APP 15)","Kilduff","Muri",""
"HB 1826","f","Recreational fee-for-access","H Gen Govt & Info","","2/20/2015","Johnson","","","","DPS6 DNP5 (ENVI 15)","Johnson","Blake",""
"HB 1827","","LEED stds. exem/nonprofits","H Cap Budget","","1/29/2015","Haler","","","","","Haler","Manweller",""
"HB 1828","f","Devel disabilities/hiring","H Finance","","1/29/2015","Haler","","","","","Haler","Hayes",""
"HB 1829","","Adverse possession claims","H Judiciary","","1/29/2015","Goodman","","","","","Goodman","Rodne",""
"HB 1830","f","Wrestling special lic plates","H subst for","","3/10/2015","Muri","","SB 5948(S Transportation)","","DPS25 (TR 15)","Muri","",""
"HB 1831","","Murder of unborn quick child","H Public Safety","","1/30/2015","Klippert","","","","","Klippert","Shea",""
"HB 1832","","WA, Ore. boundaries/2 states","H State Governme","","1/30/2015","Klippert","","","","","Klippert","Shea",""
"HB 1833","","State parks free access days","H Rules X","","2/26/2016","Klippert","","","","DP2S6 DNP3 w/oRec2 (ENVI 16)","Klippert","Takko",""
"HB 1834","","Higher ed facilities use","H Hi Ed","","1/30/2015","Klippert","","","","","Klippert","Hunt, S.",""
"HB 1835","f","Diabetes epidemic","H HC/Wellness","","1/30/2015","Harris","","SB 5689(C 56 L 16)","","","Harris","Jinkins",""
