 , Total Compensation, Total Personal Expenses, Total Entertainment, Total Contributions, Total Advertising, Total Political Ads, Total Other Expenses, Totals
ESTROFF JENNIFER, 34792.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 34792.50
EVANS ANDREA, 18333.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 18333.26
EVANS JAMES, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
EVANS LORI, 56000.00, 0.00, 154.96, 13800.00, 0.00, 0.00, 0.00, 69954.96
EVERGREEN PUBLIC AFFAIRS LLC*, 72173.00, 1182.84, 177.18, 0.00, 0.00, 0.00, 0.00, 73532.92
EWART HUGH, 3050.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3050.00
FALE CORINNA, 6.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6.75
FARLEY JERALD, 69000.00, 0.00, 0.00, 500.00, 0.00, 0.00, 0.00, 69500.00
FARR KRISTIN, 2400.00, 392.00, 0.00, 0.00, 0.00, 0.00, 1580.00, 4372.00
FEDERICI NICK, 182133.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 183633.32
FEHRENBACH WILLIAM, 0.00, 0.00, 0.00, 800.00, 0.00, 0.00, 5008.00, 5808.00
FERRIS ROGER, 3959.09, 0.00, 600.00, 0.00, 0.00, 0.00, 0.00, 4559.09
FIELD ED, 820.00, 940.00, 500.00, 0.00, 0.00, 0.00, 0.00, 2260.20
FIELD JACK, 71250.00, 0.00, 148.00, 0.00, 0.00, 0.00, 0.00, 71398.00
FINAL PASSAGE INC*, 336350.00, 4435.53, 1326.32, 0.00, 0.00, 0.00, 0.00, 342111.85
FINCH CLIFTON, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FINN TERRY, 18500.00, 1722.95, 0.00, 0.00, 0.00, 0.00, 0.00, 20222.95
FIRTH MOLLY, 12750.00, 0.00, 0.00, 0.00, 0.00, 26072.21, 0.00, 38822.21
FISCHER MARY, 802.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 802.34
FLEM LLOYD, 12800.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 12815.00
FLYGARE EHREN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FLYNN MARTIN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FOGG LINDA, 20226.00, 0.00, 0.00, 1711.45, 0.00, 0.00, 0.00, 21937.45
FOGT JOSHUA, 4134.00, 2078.07, 0.00, 0.00, 176.62, 0.00, 0.00, 6388.69
FORTESCUE JESSICA, 59800.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 59800.00
FOSTER CHARLES, 7500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 7500.00
FOSTER DAVID, 241500.00, 0.00, 0.00, 100.00, 0.00, 0.00, 0.00, 241600.00
FOX KELLY, 28728.42, 0.00, 21127.69, 0.00, 0.00, 0.00, 0.00, 49856.11
FRANKLIN SARA, 1000.00, 13.88, 0.00, 0.00, 0.00, 0.00, 0.00, 1013.88
FREEBURG JIM, 2800.00, 815.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3615.00
FRIEDES JOSHUA, 18000.00, 0.00, 0.00, 0.00, 0.00, 35.59, 533.73, 18569.32
FROMHOLD MARCIA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
G & G PUBLIC AFFAIRS*, 21360.00, 1684.13, 88.94, 6192.86, 0.00, 0.00, 0.00, 29325.93
GAETZ THOMAS, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GAIL TORAASON MCGAFFICK INC*, 136750.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 136750.00
GALLATIN PUBLIC AFFAIRS*, 10800.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 10800.00
GANO KATHLEEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GANO STEVE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GANO & ASSOC*, 829415.37, 13394.65, 7457.51, 47100.00, 0.00, 0.00, 0.00, 897367.53
GARDNER GARY, 136892.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 136892.00
GASPARD M SCOTT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GASPARD MARCUS, 18122.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 18122.00
GEE JANICE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GEIS JOHN, 10683.00, 136.27, 0.00, 0.00, 0.00, 0.00, 0.00, 10819.27
GEMPLER MICHAEL, 23748.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 23748.00
GENDLER & MANN LLP*, 4065.00, 189.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4254.00
GIBBS RONALD, 3500.00, 169.37, 0.00, 0.00, 0.00, 0.00, 0.00, 3669.37
GILLIAM JESSE, 2500.00, 0.00, 0.00, 0.00, 0.00, 2400.00, 0.00, 4900.00
GILLIAM LISA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GIPSON CARL, 9750.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 9750.00
GIVENS OMM'A, 1015.21, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1015.21
GJURASIC DAVOR, 391190.85, 8881.83, 0.00, 74300.00, 1758.73, 0.00, 0.00, 476131.41
GJURASIC MARK, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GLICKMAN-FLORA ADAM, 25397.52, 0.00, 0.00, 1521030.57, 0.00, 0.00, 697794.75, 2244225.84
GO HOLLO TATSUKO, 30.00, 9.29, 0.00, 0.00, 0.00, 0.00, 0.00, 39.29
GOLDEN CARLY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GOMBOSKY JEFFREY, 415049.92, 0.00, 0.00, 56000.00, 0.00, 0.00, 0.00, 471049.92
GOMBOSKY MELISSA, 116000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 116000.00
GONION ED, 18000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 18000.00
GONZALEZ SANTANA, 34800.00, 2812.38, 0.00, 1600.00, 0.00, 0.00, 0.00, 39212.38
GORCESTER STEVAN, 425.94, 0.00, 13390.21, 0.00, 0.00, 0.00, 0.00, 13816.15
GORDON W JAY, 22549.96, 0.00, 2366.65, 1600.00, 0.00, 0.00, 0.00, 26516.61
GORDON THOMAS HONEYWELL GOV AFFAIRS*, 1192597.92, 616.95, 2115.86, 10100.00, 0.00, 2040.00, 48000.00, 1255375.22
GORDON THOMAS HONEYWELL LAW*, 84000.00, 0.00, 0.00, 800.00, 0.00, 0.00, 0.00, 84800.00
GORDON WALGREN CONSULTING SVCS*, 77923.55, 8942.27, 460.68, 0.00, 8511.35, 0.00, 0.00, 95834.32
GORTON NATHAN, 55000.00, 0.00, 10627.74, 35000.00, 4837.27, 11000.00, 20000.00, 135965.01
GOULD JON, 24500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 24500.00
GOVERNMENT RELATIONS SERVICES*, 119182.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 119182.00
GOW JAMES, 776.54, 0.00, 0.00, 347.58, 0.00, 0.00, 1736.58, 2860.70
GRAD LINDSEY, 49500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49500.00
GRANT JONATHAN, 66.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 66.00
GRANT NICOLE, 12434.21, 0.00, 291.47, 0.00, 0.00, 0.00, 0.00, 12725.68
GREENBERG MARK, 37500.00, 0.00, 346.56, 0.00, 0.00, 0.00, 0.00, 37846.56
GRIFFING ALIA, 69756.00, 1323.27, 1191.57, 0.00, 0.00, 0.00, 0.00, 72270.84
GROESCH MICHAEL, 176000.00, 0.00, 462.84, 0.00, 0.00, 0.00, 0.00, 176462.84
GROSHONG LAURA, 11400.00, 200.00, 0.00, 0.00, 0.00, 0.00, 0.00, 11600.00
GROVES JACOB, 0.00, 0.00, 0.00, 889.81, 0.00, 0.00, 0.00, 889.81
GRYNIEWSKI BRUCE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GUADNOLA JOHN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
GUENTHER BOB, 15429.70, 0.00, 0.00, 0.00, 0.00, 0.00, 646.48, 16076.88
GUEVIN TOBY, 21091.22, 4087.84, 0.00, 0.00, 0.00, 0.00, 0.00, 25179.06
GUILLOT DON, 1592.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1592.75
GUPTA RASHI, 6091.80, 0.00, 112.10, 0.00, 0.00, 0.00, 0.00, 6203.90
GURR TOM, 22500.00, 3010.50, 0.00, 0.00, 0.00, 0.00, 0.00, 25510.50
HADLEY RICHARD, 0.00, 2662.91, 364.00, 0.00, 0.00, 0.00, 0.00, 3026.91
HALL HELEN, 72000.00, 0.00, 114.00, 0.00, 0.00, 0.00, 0.00, 72114.00
HALL RICHARD, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HALLUM SONJA, 5000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5000.00
HALSAN STUART, 126110.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 126410.00
HALSTEAD PATRICK, 12000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 12000.00
HALSTROM JAMES, 133500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 133500.00
HAMILTON TIMOTHY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HAMMAD MAHMOUD, 1500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1500.00
HANON GREG, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HANSEN HEATHER, 71423.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 71423.79
HANSON DAVID, 12757.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 12757.50
HANSON SUZANNE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HARDYMON STEPHEN, 10500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 10500.00
HARPER DEBORAH, 589.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 589.00
HARRIS TIMOTHY, 5300.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5300.00
HARTMAN NEIL, 17350.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17350.00
HASEGAWA PETER, 24.00, 9.00, 0.00, 0.00, 0.00, 0.00, 0.00, 33.00
HASKEN JESSIE, 1457.88, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1457.88
HATHAWAY RANDOLPH, 4750.00, 455.76, 0.00, 0.00, 0.00, 0.00, 0.00, 5205.76
HATTENDORF RAMONA, 2079.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2079.00
HAWKINS SHAKTI, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HAZLEGROVE SCOTT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HEDEQUIST ROBERT, 1802.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1802.50
HEDMAN CHRISTIE, 1460.83, 55.25, 0.00, 0.00, 0.00, 0.00, 0.00, 1516.08
HEDRICK JAMES, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HEDRICK KATHRYN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HEIDE PETER, 19400.00, 0.00, 0.00, 500.00, 0.00, 0.00, 0.00, 19900.00
HELEY NANCY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HELLMAN JOHAN, 25604.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 25604.69
HELT DARLA, 580.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 580.00
HEMION DAVID, 9000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 9000.00
HENNESSY PATRICIA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HENRY BENJAMIN, 11902.68, 3200.00, 0.00, 0.00, 60.00, 0.00, 0.00, 15162.68
HERMACH KRISTINA, 12000.00, 986.61, 89.34, 0.00, 0.00, 0.00, 0.00, 13075.95
HERMANSON BEV, 19800.00, 0.00, 85.58, 0.00, 0.00, 0.00, 0.00, 19885.58
HERTEL ERIN, 8602.00, 0.00, 0.00, 0.00, 0.00, 23689.40, 0.00, 32291.40
HETRICK TAMMIE, 33800.00, 372.00, 0.00, 0.00, 0.00, 0.00, 0.00, 34172.00
HEWITT KATIE, 4122.00, 0.00, 0.00, 0.00, 0.00, 22978.46, 0.00, 27100.46
HILDEBRAND SCOTT, 50400.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50400.00
HILL JAMES, 2600.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2600.00
HILL ROBERT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HILLER DAVID, 5400.00, 2699.10, 0.00, 0.00, 0.00, 0.00, 0.00, 8099.10
HILLIARD TED, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HILLMAN JENNIFER, 2792.87, 484.80, 0.00, 390560.75, 0.00, 0.00, 0.00, 393838.42
HIPP LAUREN, 1000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1000.00
HIRSH NANCY, 2374.75, 975.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3349.75
HIRST CHRISTOPHER, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HITCHENS DEDI, 48749.94, 0.00, 3364.30, 0.00, 0.00, 0.00, 0.00, 52114.24
HITESHUE NANCY, 14350.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14350.00
HOFF KIMBERLY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HOKE JOHN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HOLMSTROM CINDI, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HOLY JEFF, 15070.00, 1553.30, 0.00, 0.00, 0.00, 0.00, 0.00, 16623.30
HOMANS LUCY, 78888.00, 1410.56, 0.00, 0.00, 0.00, 0.00, 0.00, 80398.56
HOOKS DOUG, 8600.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8600.00
HOOVER JAMES, 6817.00, 4907.00, 698.92, 1450.00, 0.00, 0.00, 491.00, 14363.92
HOSEA TOM, 19200.00, 2617.97, 664.34, 13700.00, 0.00, 0.00, 0.00, 36182.31
HOTVEDT TERRI, 30334.56, 4543.65, 0.00, 0.00, 0.00, 0.00, 0.00, 34878.21
HOUCHEN LIS, 10201.90, 1730.21, 200.00, 0.00, 0.00, 0.00, 0.00, 12132.20
HOUSE TRENT, 143267.12, 196.79, 0.00, 250.00, 0.00, 0.00, 0.00, 143713.91
HOUSKEEPER BRANDON, 8750.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8750.00
HOWARD SETH, 0.00, 383.52, 0.00, 0.00, 0.00, 0.00, 0.00, 383.52
HOWELL DAVE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HUANG GRACE, 3376.20, 2802.87, 0.00, 0.00, 0.00, 0.00, 0.00, 6179.07
HULL LINDA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HUNTER PATRICIA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HUR ALEX, 49500.00, 0.00, 200.00, 125.00, 0.00, 0.00, 0.00, 48275.00
HURST LISA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HUTSON MATHEW, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
HYDER BENITA, 1377.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1377.20
IDA T ZODROW LLC*, 39630.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 39630.00
JACOY CATHERINE, 18000.00, 314.71, 0.00, 1464.07, 0.00, 0.00, 0.00, 19778.78
JAMES THOMAS, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
JANCEWICZ ANNA, 51217.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 51217.50
JAYAPAL PRAMILA, 1448.91, 172.26, 0.00, 0.00, 0.00, 0.00, 0.00, 1621.17
JEAN M LEONARD*, 394831.74, 21669.81, 4151.08, 39477.50, 0.00, 0.00, 0.00, 456899.54
JENNINGS JAY, 29640.00, 0.00, 1717.73, 3200.00, 0.00, 0.00, 0.00, 34557.73
JENNINGS JUDY, 1550.00, 679.26, 0.00, 0.00, 0.00, 0.00, 0.00, 2229.26
JENSEN RICHARD, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
JENSEN WALGREN & DOTY GOVT CONSULTING*, 172352.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 172352.00
JESERNIG JIM, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
JOE KING & ASSOC*, 497500.00, 4485.30, 2232.89, 0.00, 0.00, 0.00, 133355.00, 637573.19
JOHN S CONNIFF PLLC*, 29525.00, 0.00, 0.00, 0.00, 0.00, 0.00, 38475.00, 68000.00
JOHNS-BROWN LONNIE, 138723.64, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 138723.64
JOHNSON DAVID, 29480.00, 0.00, 0.00, 2600.00, 0.00, 0.00, 0.00, 32080.00
JOHNSON ERIC, 39470.44, 462.36, 21503.13, 0.00, 0.00, 1726.49, 0.00, 63162.42
JOHNSON HOLLI, 4700.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4700.00
JOHNSON JEFFREY, 19439.29, 0.00, 11487.62, 0.00, 0.00, 0.00, 0.00, 30926.91
JOHNSON JULIE, 24000.00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 24100.00
JOHNSON KENNETH, 105708.42, 0.00, 3071.05, 128848.40, 0.00, 0.00, 0.00, 237627.87
JOHNSON MARK, 102492.00, 1939.29, 0.00, 500.00, 0.00, 0.00, 0.00, 104931.79
JOHNSON MATT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
JOHNSON MELISSA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
JOHNSON REBECCA, 38137.00, 0.00, 2072.19, 0.00, 0.00, 0.00, 0.00, 40209.19
JOHNSON SUSAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
JONES RICHARD, 5000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5000.00
JUDY BRIAN, 23776.92, 7504.15, 0.00, 0.00, 0.00, 0.00, 0.00, 31281.07
K & L GATES*, 13085.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 13085.00
KAINBER JIM, 37072.00, 199.00, 0.00, 0.00, 0.00, 0.00, 0.00, 37271.00
KAPLAN ABBI, 1504.70, 329.15, 0.00, 0.00, 0.00, 0.00, 0.00, 1833.65
KAPLAN DAVE, 24320.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 24320.00
KAUSHIK SANDEEP, 3900.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3900.00
KAVOUSSI REBECCA, 8272.00, 0.00, 0.00, 0.00, 0.00, 7414.06, 0.00, 15686.06
KEATING AARON, 81.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 81.00
KEGLEY CHUCK, 0.00, 0.00, 0.00, 250.00, 0.00, 0.00, 0.00, 250.00
KELLY KEVIN, 8250.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8250.00
KENDALL STEPHANIE, 1027.00, 55.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1082.00
KENNEDY ELAINE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KERR CAMILLE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KIDD WILLIAM, 120000.00, 0.00, 277.25, 100.00, 0.00, 0.00, 0.00, 120377.25
KIGA FREDERICK, 24000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 24000.00
KILLPACK BRACKEN, 4000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4000.00
KING JAMES, 14475.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14475.00
KING JOSEPH, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KIRKPATRICK SALLY, 20833.34, 0.00, 368.26, 0.00, 0.00, 0.00, 0.00, 21201.60
KIRSCHNER DAN, 1260.00, 501.88, 0.00, 0.00, 0.00, 0.00, 0.00, 1761.88
KISIELIUS LAURA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KLUMP AMANDA, 4230.00, 0.00, 222.33, 625.16, 0.00, 0.00, 5989.47, 11066.96
KNAPP JONATHAN, 2462.50, 61.20, 0.00, 5.00, 0.00, 0.00, 296.24, 2824.94
KNOESPEL RICHARD, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KNUDSON KIP, 13633.94, 7538.84, 962.82, 0.00, 0.00, 0.00, 0.00, 22135.60
KNUE TIMOTHY, 0.00, 1752.12, 6058.40, 900.00, 600.00, 0.00, 0.00, 9310.52
KNUTSON DAVE, 210140.00, 468.08, 0.00, 0.00, 0.00, 0.00, 0.00, 210608.08
KODAMA LISA, 118.02, 55.79, 0.00, 0.00, 0.00, 0.00, 0.00, 173.81
KOHL TERRY, 184586.81, 13243.75, 139.14, 1600.00, 0.00, 0.00, 0.00, 199569.70
KOLAN KATHRYN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KOUNTS JOHN, 5940.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5940.00
KRAFT ELAINE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
KREHBIEL ROBB, 1859.09, 147.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2006.09
KROHN HERB, 6381.29, 1012.49, 0.00, 0.00, 0.00, 0.00, 0.00, 7393.78
KVAMME JOHN, 18870.00, 214.86, 0.00, 0.00, 0.00, 0.00, 0.00, 19084.86
KWIECIAK THOMAS, 50900.00, 0.00, 289.83, 0.00, 0.00, 0.00, 0.00, 51189.83
LANE GREGORY, 1009.24, 0.00, 3300.00, 0.00, 0.00, 0.00, 0.00, 4309.24
LANGHOLZ MARY, 2000.00, 457.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2457.00
LANHAM LINDA, 96000.00, 0.00, 0.00, 5400.00, 0.00, 0.00, 0.00, 101400.00
LARSON JOHN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LARSON KAREN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LATCH ANITA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LAUBACHER CYNTHIA, 10349.95, 0.00, 0.00, 14500.00, 0.00, 0.00, 0.00, 24849.95
LAURENCE JEFFREY, 3150.00, 422.68, 0.00, 0.00, 0.00, 0.00, 0.00, 3572.68
LAWRENCE HANSCOM JENNIFER, 300.00, 0.00, 0.00, 0.00, 13706.00, 0.00, 0.00, 14006.00
LAWSON DENNIS, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LAYTON TIM, 56800.00, 0.00, 1334.50, 0.00, 0.00, 0.00, 0.00, 58134.50
LEATHERS KATHRYN, 83602.00, 303.75, 1160.90, 0.00, 0.00, 0.00, 0.00, 85066.65
LEE ANNE, 57.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 57.18
LEE KAREN, 19057.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 19057.50
LEE ROBERT, 6066.64, 50.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6116.64
LEE TARA, 3693.14, 651.75, 116.03, 0.00, 0.00, 0.00, 0.00, 4460.92
LEE TONY, 31073.80, 6053.20, 0.00, 0.00, 0.00, 0.00, 0.00, 37127.00
LEGAZ GINA, 15576.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15576.00
LEHMANN WALTRAUT, 8240.50, 253.66, 0.00, 0.00, 0.00, 0.00, 0.00, 8494.16
LEHNER TIM, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LEKANOF DEBRA, 461.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 461.52
LEONARD JEAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LETOURNEAU MONIQUE, 1667.51, 199.25, 0.00, 0.00, 0.00, 0.00, 0.00, 1866.76
LEVY DOUGLAS, 391499.96, 18515.89, 0.00, 0.00, 0.00, 0.00, 0.00, 410215.82
LEWIS AMBER, 42600.00, 0.00, 0.00, 0.00, 0.00, 10794.01, 0.00, 53394.01
LEWIS ANDREW, 1092.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1092.00
LEWISON LISA, 0.00, 0.00, 0.00, 9700.30, 0.00, 0.00, 0.00, 9700.30
LIDMAN HANNAH, 9621.08, 2834.26, 129.96, 0.00, 0.00, 0.00, 0.00, 12585.30
LINCOLN FAYE, 69911.00, 15854.37, 787.36, 5100.00, 0.00, 0.00, 1020.41, 92673.14
LINCOLN VICTORIA, 5506.91, 0.00, 827.80, 0.00, 0.00, 0.00, 0.00, 6334.71
LINDEKUGEL BEN, 1023.20, 255.51, 0.00, 0.00, 0.00, 0.00, 0.00, 1278.71
LINDQUIST MARY, 7514.50, 0.00, 0.00, 2521.09, 0.00, 450.12, 0.00, 10485.71
LINDQUIST PHILIP, 152.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 152.00
LINDSTROM STEPHEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LINT ERIC, 557.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 557.16
LIPPOLD LAURA, 47332.00, 2200.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49532.00
LITTEL JOHN, 23490.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 23490.72
LITTLE RICHARD, 215898.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 215898.00
LMH INC*, 387160.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 387160.00
LOGINSKY PAMELA, 1674.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1674.36
LOGUE CAROLYN, 177401.00, 2677.29, 237.35, 0.00, 0.00, 0.00, 0.00, 180315.64
LOOMANS RANDY, 35295.48, 0.00, 579.96, 1750.00, 0.00, 0.00, 0.00, 37625.44
LOPEZ KENT, 41500.00, 0.00, 404.43, 0.00, 0.00, 0.00, 0.00, 41904.43
LORD DAVID, 20800.00, 4285.16, 221.41, 0.00, 0.00, 0.00, 0.00, 25305.57
LOSEY JEFF, 2000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2000.00
